Clase,Orden,Familia,Especie
Insecta,Lepidoptera,Riodinidae,"Lasaia agesilas agesilas"
Aves,Passeriformes,Thraupidae,"Dacnis lineata"
Insecta,Lepidoptera,Nymphalidae,"Pierella lena brasiliensis"
Insecta,Lepidoptera,Nymphalidae,"Pierella lamia chalybaea"
Aves,Passeriformes,Thamnophilidae,"Pithys albifrons"
Insecta,Lepidoptera,Nymphalidae,"Pierella hyceta hyceta"
Insecta,Lepidoptera,Nymphalidae,"Pierella hortona hortona"
Equisetopsida,Fabales,Fabaceae,"Diplotropis purpurea"
Aves,Passeriformes,Thraupidae,"Dacnis cayana"
Insecta,Lepidoptera,Nymphalidae,"Pierella astyoche bernhardina"
Equisetopsida,Polypodiales,Pteridaceae,"Pityrogramma calomelanos"
Equisetopsida,Fabales,Fabaceae,"Dipteryx alata"
Equisetopsida,Fabales,Fabaceae,"Dipteryx micrantha"
Aves,Piciformes,Picidae,"Picumnus lafresnayi"
Insecta,Lepidoptera,Riodinidae,"Cyrenia martia martia"
Equisetopsida,Aquifoliales,Stemonuraceae,"Discophora guianensis"
Equisetopsida,Myrtales,Melastomataceae,"Miconia polytopica"
Aves,Passeriformes,Troglodytidae,"Cyphorhinus thoracicus"
Aves,Piciformes,Picidae,"Piculus leucolaemus"
Insecta,Lepidoptera,Nymphalidae,"Adelpha boreas boreas"
Equisetopsida,Rosales,Moraceae,"Distictella magnoliifolia"
Aves,Piciformes,Picidae,"Piculus chrysochloros"
Equisetopsida,Picramniales,Picramniaceae,"Picramnia spruceana"
Equisetopsida,Picramniales,Picramniaceae,"Picramnia sellowii"
Equisetopsida,Celastrales,Celastraceae,"Monteverdia macrocarpa"
Equisetopsida,Myrtales,Melastomataceae,"Miconia paeminosa"
Equisetopsida,Myrtales,Lythraceae,"Adenaria floribunda"
Equisetopsida,Rosales,Moraceae,"Dorstenia umbricola"
Aves,Apodiformes,Trochilidae,"Doryfera johannae"
Aves,Apodiformes,Trochilidae,"Doryfera ludovicae"
Aves,Cuculiformes,Cuculidae,"Piaya cayana"
Equisetopsida,Magnoliales,Annonaceae,"Cymbopetalum schunkei"
Aves,Passeriformes,Tyrannidae,"Platyrinchus mystaceus"
Aves,Passeriformes,Thamnophilidae,"Cymbilaimus lineatus"
Insecta,Lepidoptera,Nymphalidae,"Doxocopa agathina agathina"
Insecta,Lepidoptera,Nymphalidae,"Doxocopa zunilda floris"
Aves,Passeriformes,Tyrannidae,"Platyrinchus platyrhynchos"
Equisetopsida,Celastrales,Celastraceae,"Monteverdia ebenifolia"
Equisetopsida,Polypodiales,Thelypteridaceae,"Cyclosorus macrotis"
Equisetopsida,Alismatales,Araceae,"Dracontium spruceanum"
Equisetopsida,Polypodiales,Lomariopsidaceae,"Cyclopeltis semicordata"
Insecta,Lepidoptera,Hesperiidae,"Cycloglypha tisias"
Insecta,Lepidoptera,Hesperiidae,"Drephalys dumeril"
Equisetopsida,Myrtales,Melastomataceae,"Miconia nervosa"
Equisetopsida,Caryophyllales,Droseraceae,"Drosera peruensis"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Insecta,Lepidoptera,Nymphalidae,"Dryas iulia alcionea"
Equisetopsida,Arecales,Arecaceae,"Phytelephas macrocarpa"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia alloplectoides"
Equisetopsida,Myrtales,Lythraceae,"Physocalymma scaberrimum"
Insecta,Lepidoptera,Nymphalidae,"Physcopedaliodes praxithea"
Equisetopsida,Ericales,Primulaceae,"Cybianthus peruvianus"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia coccinea"
Equisetopsida,Ericales,Primulaceae,"Cybianthus penduliflorus"
Equisetopsida,Ericales,Primulaceae,"Cybianthus pastensis"
Equisetopsida,Ericales,Primulaceae,"Cybianthus minutiflorus"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia doratostyla"
Equisetopsida,Ericales,Primulaceae,"Cybianthus magnus"
Equisetopsida,Lamiales,Bignoniaceae,"Pleonotoma melioides"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia macrophylla"
Equisetopsida,Ericales,Primulaceae,"Cybianthus granulosus"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia pendula"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia semicordata"
Equisetopsida,Ericales,Primulaceae,"Cybianthus comperuvianus"
Equisetopsida,Polypodiales,Polypodiaceae,"Pleopeltis fraseri"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia urceolata"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea palaciosii"
Aves,Passeriformes,Thamnophilidae,"Drymophila striaticeps"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea latevagans"
Aves,Passeriformes,Hirundinidae,"Stelgidopteryx ruficollis"
Aves,Piciformes,Picidae,"Dryobates affinis"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea fulva"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea estevesorum"
Equisetopsida,Myrtales,Melastomataceae,"Pleroma ochypetalum"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea chontilla"
Aves,Piciformes,Picidae,"Dryobates fumigatus"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea bipinnatifida"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea alatissima"
Aves,Passeriformes,Tyrannidae,"Phylloscartes ventralis"
Aves,Piciformes,Picidae,"Dryobates passerinus"
Aves,Piciformes,Picidae,"Dryocopus lineatus"
Aves,Passeriformes,Cardinalidae,"Cyanoloxia rothschildii"
Aves,Passeriformes,Tyrannidae,"Phylloscartes poecilotis"
Aves,Passeriformes,Corvidae,"Cyanocorax yncas"
Aves,Passeriformes,Tyrannidae,"Phylloscartes parkeri"
Aves,Passeriformes,Corvidae,"Cyanocorax violaceus"
Equisetopsida,Malpighiales,Putranjivaceae,"Drypetes gentryi"
Aves,Passeriformes,Tyrannidae,"Phylloscartes ophthalmicus"
Equisetopsida,Magnoliales,Annonaceae,"Duguetia macrophylla"
Equisetopsida,Aquifoliales,Phyllonomaceae,"Phyllonoma ruscifolia"
Aves,Passeriformes,Tyrannidae,"Phyllomyias weedeni"
Aves,Passeriformes,Thraupidae,"Cyanerpes caeruleus"
Aves,Passeriformes,Tyrannidae,"Phyllomyias griseiceps"
Aves,Passeriformes,Tyrannidae,"Phyllomyias cinereiceps"
Aves,Passeriformes,Tyrannidae,"Phyllomyias burmeisteri"
Equisetopsida,Gentianales,Rubiaceae,"Duroia hirsuta"
Equisetopsida,Lamiales,Bignoniaceae,"Adenocalymma impressum"
Equisetopsida,Myrtales,Melastomataceae,"Miconia myrtiformis"
Insecta,Lepidoptera,Nymphalidae,"Dynamine chryseis"
Insecta,Lepidoptera,Nymphalidae,"Dynamine gisella"
Equisetopsida,Laurales,Lauraceae,"Pleurothyrium intermedium"
Equisetopsida,Laurales,Lauraceae,"Pleurothyrium poeppigii"
Insecta,Lepidoptera,Nymphalidae,"Dynastor darius stygianus"
Equisetopsida,Myrtales,Lythraceae,"Cuphea bombonasae"
Equisetopsida,Laurales,Lauraceae,"Pleurothyrium tomentellum"
Equisetopsida,Sapindales,Sapindaceae,"Cupania latifolia"
Aves,Passeriformes,Thamnophilidae,"Dysithamnus mentalis"
Equisetopsida,Malpighiales,Phyllanthaceae,"Phyllanthus urinaria"
Equisetopsida,Myrtales,Melastomataceae,"Miconia muricata"
Mammalia,Rodentia,Cuniculidae,"Cuniculus paca"
Equisetopsida,Malpighiales,Clusiaceae,"Dystovomita paniculata"
Insecta,Lepidoptera,Hesperiidae,"Ebrietas evanidus"
Insecta,Lepidoptera,Hesperiidae,"Ebrietas infanda"
Equisetopsida,Ericales,Sapotaceae,"Ecclinusa lanceolata"
Equisetopsida,Solanales,Solanaceae,"Cuatresia fosteriana"
Equisetopsida,Santalales,Santalaceae,"Phoradendron piperoides"
Aves,Tinamiformes,Tinamidae,"Crypturellus variegatus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Steatornithiformes,Steatornithidae,"Steatornis caripensis"
Equisetopsida,Myrtales,Melastomataceae,"Miconia monzoniensis"
Equisetopsida,Alismatales,Araceae,"Monstera pinnatipartita"
Aves,Tinamiformes,Tinamidae,"Crypturellus tataupa"
Mammalia,Carnivora,Mustelidae,"Eira barbara"
Insecta,Lepidoptera,Pieridae,"Phoebis sennae marcellina"
Equisetopsida,Asterales,Asteraceae,"Eirmocephala cainarachensis"
Insecta,Lepidoptera,Pieridae,"Phoebis philea philea"
Equisetopsida,Gentianales,Rubiaceae,"Elaeagia karstenii"
Aves,Tinamiformes,Tinamidae,"Crypturellus soui"
Equisetopsida,Gentianales,Rubiaceae,"Elaeagia mariae"
Insecta,Lepidoptera,Pieridae,"Phoebis neocypris rurina"
Equisetopsida,Gentianales,Rubiaceae,"Elaeagia pastoensis"
Aves,Tinamiformes,Tinamidae,"Crypturellus obsoletus"
Aves,Passeriformes,Tyrannidae,"Elaenia albiceps"
Insecta,Lepidoptera,Pieridae,"Phoebis argante larra"
Aves,Tinamiformes,Tinamidae,"Crypturellus cinereus"
Aves,Passeriformes,Tyrannidae,"Elaenia chiriquensis"
Aves,Passeriformes,Tyrannidae,"Elaenia flavogaster"
Aves,Passeriformes,Tyrannidae,"Elaenia gigas"
Aves,Apodiformes,Trochilidae,"Phlogophilus harterti"
Aves,Tinamiformes,Tinamidae,"Crypturellus atrocapillus"
Aves,Passeriformes,Tyrannidae,"Elaenia spectabilis"
Aves,Passeriformes,Pipridae,"Cryptopipo holochlora"
Aves,Accipitriformes,Accipitridae,"Elanoides forficatus"
Equisetopsida,Brassicales,Cleomaceae,"Podandrogyne glabra"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum decoratum"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton pachypodus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton lechleri"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum moorei"
Equisetopsida,Fabales,Fabaceae,"Crotalaria nitens"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus latirostris"
Equisetopsida,Asterales,Asteraceae,"Critoniopsis boliviana"
Aves,Passeriformes,Thraupidae,"Creurgops verticalis"
Equisetopsida,Lamiales,Bignoniaceae,"Crescentia cujete"
Equisetopsida,Myrtales,Melastomataceae,"Miconia mayeta"
Aves,Coraciiformes,Momotidae,"Electron platyrhynchum"
Aves,Passeriformes,Furnariidae,"Philydor erythrocercum"
Equisetopsida,Lamiales,Gesneriaceae,"Cremosperma peruvianum"
Equisetopsida,Polypodiales,Dryopteridaceae,"Polybotrya osmundacea"
Aves,Apodiformes,Trochilidae,"Adelomyia melanogenys"
Equisetopsida,Alismatales,Araceae,"Philodendron wittianum"
Equisetopsida,Alismatales,Araceae,"Philodendron verrucosum"
Aves,Passeriformes,Furnariidae,"Cranioleuca curtata"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus wallnoeferi"
Equisetopsida,Alismatales,Araceae,"Philodendron vasquezii"
Equisetopsida,Gentianales,Rubiaceae,"Coussarea revoluta"
Equisetopsida,Gentianales,Rubiaceae,"Coussarea pseudopilosula"
Equisetopsida,Gentianales,Rubiaceae,"Coussarea obliqua"
Equisetopsida,Alismatales,Araceae,"Philodendron ruizii"
Aves,Passeriformes,Thraupidae,"Emberizoides herbicola"
Equisetopsida,Gentianales,Rubiaceae,"Coussarea flava"
Equisetopsida,Fabales,Fabaceae,"Abarema jupunba"
Insecta,Lepidoptera,Riodinidae,"Emesis spreta"
Equisetopsida,Gentianales,Rubiaceae,"Emmeorhiza umbellata"
Equisetopsida,Fabales,Fabaceae,"Abarema floribunda"
Equisetopsida,Alismatales,Araceae,"Philodendron oxapampense"
Equisetopsida,Ericales,Lecythidaceae,"Couroupita guianensis"
Aves,Passeriformes,Tyrannidae,"Empidonax alnorum"
Aves,Passeriformes,Tyrannidae,"Empidonomus aurantioatrocristatus"
Equisetopsida,Alismatales,Araceae,"Philodendron maximum"
Aves,Passeriformes,Tyrannidae,"Empidonomus varius"
Equisetopsida,Alismatales,Araceae,"Philodendron kroemeri"
Equisetopsida,Polypodiales,Pteridaceae,"Polytaenium cajenense"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Couepia obovata"
Equisetopsida,Laurales,Lauraceae,"Endlicheria arunciflora"
Equisetopsida,Laurales,Lauraceae,"Endlicheria bracteata"
Equisetopsida,Laurales,Lauraceae,"Endlicheria directonervia"
Equisetopsida,Laurales,Lauraceae,"Endlicheria dysodantha"
Equisetopsida,Laurales,Lauraceae,"Endlicheria formosa"
Equisetopsida,Alismatales,Araceae,"Philodendron heterophyllum"
Equisetopsida,Laurales,Lauraceae,"Endlicheria gracilis"
Equisetopsida,Asparagales,Orchidaceae,"Ponthieva collantesii"
Equisetopsida,Zingiberales,Costaceae,"Costus scaber"
Equisetopsida,Zingiberales,Costaceae,"Costus productus"
Equisetopsida,Laurales,Lauraceae,"Endlicheria pyriformis"
Equisetopsida,Laurales,Lauraceae,"Endlicheria rubriflora"
Equisetopsida,Zingiberales,Costaceae,"Costus lasius"
Equisetopsida,Laurales,Lauraceae,"Endlicheria ruforamula"
Equisetopsida,Laurales,Lauraceae,"Endlicheria tschudyana"
Equisetopsida,Alismatales,Araceae,"Philodendron ernestii"
Aves,Passeriformes,Tyrannidae,"Corythopis torquatus"
Equisetopsida,Alismatales,Araceae,"Philodendron deflexum"
Insecta,Lepidoptera,Hesperiidae,"Enosis pruinosa pruinosa"
Equisetopsida,Fabales,Fabaceae,"Enterolobium schomburgkii"
Equisetopsida,Myrtales,Melastomataceae,"Miconia matthaei"
Aves,Passeriformes,Turdidae,"Entomodestes leucotis"
Equisetopsida,Gentianales,Rubiaceae,"Posoqueria coriacea"
Equisetopsida,Gentianales,Rubiaceae,"Posoqueria latifolia"
Equisetopsida,Boraginales,Boraginaceae,"Cordia ucayaliensis"
Insecta,Lepidoptera,Nymphalidae,"Philaethria dido"
Insecta,Lepidoptera,Nymphalidae,"Philaethria diatonica"
