Clase,Orden,Familia,Especie,endemica,amenazada
Insecta,Lepidoptera,Riodinidae,Lasaia agesilas agesilas,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis lineata,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Pierella lena brasiliensis,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Pierella lamia chalybaea,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Pithys albifrons,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Pierella hyceta hyceta,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Pierella hortona hortona,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Diplotropis purpurea,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis cayana,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Pierella astyoche bernhardina,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Pityrogramma calomelanos,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dipteryx alata,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dipteryx micrantha,FALSE,FALSE
Aves,Piciformes,Picidae,Picumnus lafresnayi,FALSE,FALSE
Insecta,Lepidoptera,Riodinidae,Cyrenia martia martia,FALSE,FALSE
Equisetopsida,Aquifoliales,Stemonuraceae,Discophora guianensis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia polytopica,TRUE,FALSE
Aves,Passeriformes,Troglodytidae,Cyphorhinus thoracicus,FALSE,FALSE
Aves,Piciformes,Picidae,Piculus leucolaemus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Adelpha boreas boreas,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Distictella magnoliifolia,FALSE,FALSE
Aves,Piciformes,Picidae,Piculus chrysochloros,FALSE,FALSE
Equisetopsida,Picramniales,Picramniaceae,Picramnia spruceana,FALSE,FALSE
Equisetopsida,Picramniales,Picramniaceae,Picramnia sellowii,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Monteverdia macrocarpa,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia paeminosa,FALSE,FALSE
Equisetopsida,Myrtales,Lythraceae,Adenaria floribunda,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Dorstenia umbricola,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Doryfera johannae,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Doryfera ludovicae,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Piaya cayana,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Cymbopetalum schunkei,TRUE,FALSE
Aves,Passeriformes,Tyrannidae,Platyrinchus mystaceus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cymbilaimus lineatus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Doxocopa agathina agathina,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Doxocopa zunilda floris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Platyrinchus platyrhynchos,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Monteverdia ebenifolia,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Cyclosorus macrotis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dracontium spruceanum,FALSE,FALSE
Equisetopsida,Polypodiales,Lomariopsidaceae,Cyclopeltis semicordata,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Cycloglypha tisias,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Drephalys dumeril,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia nervosa,FALSE,FALSE
Equisetopsida,Caryophyllales,Droseraceae,Drosera peruensis,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Cyclarhis gujanensis,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Dryas iulia alcionea,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Phytelephas macrocarpa,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia alloplectoides,FALSE,FALSE
Equisetopsida,Myrtales,Lythraceae,Physocalymma scaberrimum,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Physcopedaliodes praxithea,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus peruvianus,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia coccinea,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus penduliflorus,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus pastensis,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus minutiflorus,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia doratostyla,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus magnus,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Pleonotoma melioides,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia macrophylla,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus granulosus,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia pendula,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia semicordata,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus comperuvianus,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Pleopeltis fraseri,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia urceolata,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea palaciosii,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Drymophila striaticeps,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea latevagans,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Stelgidopteryx ruficollis,FALSE,FALSE
