Clase,Orden,Familia,Especie
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus petolarius"
Amphibia,Anura,Bufonidae,"Rhinella dapsilis"
Aves,Galbuliformes,Bucconidae,"Monasa nigrifrons"
Amphibia,Anura,Bufonidae,"Rhinella ceratophrys"
Aves,Passeriformes,Troglodytidae,"Campylorhynchus turdinus"
Aves,Galliformes,Odontophoridae,"Odontophorus gujanensis"
Aves,Psittaciformes,Psittacidae,"Brotogeris cyanoptera"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus lacustris"
Equisetopsida,Rosales,Moraceae,"Brosimum rubescens"
Equisetopsida,Rosales,Moraceae,"Brosimum multinervium"
Aves,Piciformes,Capitonidae,"Capito auratus"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria guianensis"
Equisetopsida,Polypodiales,Blechnaceae,"Salpichlaena volubilis"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria grandipes"
Equisetopsida,Rosales,Moraceae,"Brosimum lactescens"
Aves,Piciformes,Capitonidae,"Capito aurovirens"
Equisetopsida,Rosales,Moraceae,"Brosimum guianense"
Aves,Passeriformes,Tityridae,"Pachyramphus marginatus"
Equisetopsida,Sapindales,Meliaceae,"Guarea silvatica"
Aves,Passeriformes,Tityridae,"Pachyramphus minor"
Aves,Pelecaniformes,Ardeidae,"Agamia agami"
Aves,Passeriformes,Tityridae,"Pachyramphus polychopterus"
Equisetopsida,Sapindales,Meliaceae,"Guarea pterorhachis"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus microlepis"
Equisetopsida,Sapindales,Meliaceae,"Guarea kunthiana"
Mammalia,Pilosa,Bradypodidae,"Bradypus variegatus"
Equisetopsida,Sapindales,Meliaceae,"Guarea fistulosa"
Equisetopsida,Sapindales,Meliaceae,"Guarea ecuadoriensis"
Equisetopsida,Sapindales,Rutaceae,"Raputia simulans"
Equisetopsida,Sapindales,Meliaceae,"Guarea cristata"
Equisetopsida,Sapindales,Meliaceae,"Guarea cinnamomea"
Aves,Passeriformes,Vireonidae,"Hylophilus thoracicus"
Aves,Passeriformes,Vireonidae,"Pachysylvia hypoxantha"
Equisetopsida,Laurales,Lauraceae,"Ocotea javitensis"
Actinopterygii,Characiformes,Gasteropelecidae,"Carnegiella strigata"
Aves,Passeriformes,Thamnophilidae,"Hylophylax naevius"
Aves,Passeriformes,Thamnophilidae,"Hylophylax punctulatus"
Aves,Passeriformes,Thraupidae,"Saltator maximus"
Equisetopsida,Malpighiales,Caryocaraceae,"Caryocar glabrum"
Aves,Passeriformes,Tyrannidae,"Ramphotrigon ruficauda"
Aves,Passeriformes,Thraupidae,"Ramphocelus nigrogularis"
Reptilia,Serpentes,Viperidae,"Bothrocophias hyoprora"
Equisetopsida,Malpighiales,Salicaceae,"Casearia prunifolia"
Equisetopsida,Arecales,Arecaceae,"Hyospathe elegans"
Aves,Passeriformes,Tyrannidae,"Pitangus sulphuratus"
Reptilia,Sauria,Sphaerodactylidae,"Gonatodes humeralis"
Reptilia,Sauria,Sphaerodactylidae,"Gonatodes concinnatus"
Actinopterygii,Characiformes,Characidae,"Hyphessobrycon agulha"
Actinopterygii,Characiformes,Characidae,"Hyphessobrycon bentosi"
Actinopterygii,Characiformes,Characidae,"Hyphessobrycon copelandi"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia wallisii"
Aves,Piciformes,Ramphastidae,"Ramphastos vitellinus"
Aves,Cathartiformes,Cathartidae,"Sarcoramphus papa"
Aves,Passeriformes,Thamnophilidae,"Hypocnemis hypoxantha"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia fucata"
Aves,Passeriformes,Thamnophilidae,"Hypocnemis peruviana"
Aves,Piciformes,Ramphastidae,"Ramphastos tucanus"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea glabra"
Equisetopsida,Myrtales,Melastomataceae,"Blakea rosea"
Aves,Passeriformes,Furnariidae,"Glyphorynchus spirurus"
Amphibia,Anura,Hylidae,"Hypsiboas boans"
Amphibia,Anura,Hylidae,"Hypsiboas calcaratus"
Amphibia,Anura,Hylidae,"Hypsiboas cinerascens"
Amphibia,Anura,Hylidae,"Hypsiboas fasciatus"
Amphibia,Anura,Hylidae,"Hypsiboas geographicus"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea iodotricha"
Amphibia,Anura,Hylidae,"Hypsiboas lanciformis"
Equisetopsida,Arecales,Arecaceae,"Desmoncus giganteus"
Amphibia,Anura,Hylidae,"Dendropsophus triangulum"
Aves,Falconiformes,Falconidae,"Ibycter americanus"
Aves,Pelecaniformes,Threskiornithidae,"Mesembrinibis cayennensis"
Aves,Passeriformes,Cotingidae,"Querula purpurata"
Aves,Strigiformes,Strigidae,"Glaucidium brasilianum"
Equisetopsida,Poales,Bromeliaceae,"Aechmea woronowii"
Equisetopsida,Malvales,Malvaceae,"Quararibea wittii"
Aves,Passeriformes,Icteridae,"Icterus chrysocephalus"
Aves,Passeriformes,Furnariidae,"Berlepschia rikeri"
Equisetopsida,Arecales,Arecaceae,"Desmoncus mitis"
Equisetopsida,Malvales,Malvaceae,"Quararibea amazónica"
Aves,Caprimulgiformes,Caprimulgidae,"Nyctiphrynus ocellatus"
Equisetopsida,Myrtales,Melastomataceae,"Bellucia pentamera"
Mammalia,Primates,Cebidae,"Cebus (Cebus) albifrons"
Mammalia,Rodentia,Cuniculidae,"Cuniculus paca"
Aves,Passeriformes,Tityridae,"Schiffornis major"
Amphibia,Anura,Hylidae,"Nyctimantis rugiceps"
Aves,Passeriformes,Tityridae,"Schiffornis turdina"
Equisetopsida,Myrtales,Melastomataceae,"Miconia pterocaulon"
Equisetopsida,Arecales,Arecaceae,"Desmoncus orthacanthos"
Aves,Caprimulgiformes,Caprimulgidae,"Nyctidromus albicollis"
Aves,Psittaciformes,Psittacidae,"Pyrrhura melanura"
Equisetopsida,Aquifoliales,Stemonuraceae,"Discophora guianensis"
Aves,Piciformes,Picidae,"Picumnus lafresnayi"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea racemosa"
Equisetopsida,Arecales,Arecaceae,"Desmoncus polyacanthos"
Aves,Columbiformes,Columbidae,"Geotrygon montana"
Actinopterygii,Characiformes,Lebiasinidae,"Pyrrhulina laeta"
Equisetopsida,Rosales,Urticaceae,"Cecropia sciadophylla"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius griseus"
Equisetopsida,Fabales,Fabaceae,"Inga alba"
Equisetopsida,Fabales,Fabaceae,"Inga auristellae"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius grandis"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius bracteatus"
Equisetopsida,Fabales,Fabaceae,"Cedrelinga cateniformis"
Aves,Coraciiformes,Momotidae,"Baryphthengus martii"
Equisetopsida,Fabales,Fabaceae,"Inga cordatoalata"
Equisetopsida,Fabales,Fabaceae,"Schnella guianensis"
Equisetopsida,Arecales,Arecaceae,"Geonoma stricta"
Aves,Piciformes,Picidae,"Celeus elegans"
Equisetopsida,Arecales,Arecaceae,"Geonoma maxima"
Aves,Piciformes,Picidae,"Celeus flavus"
Equisetopsida,Arecales,Arecaceae,"Geonoma deversa"
Equisetopsida,Arecales,Arecaceae,"Bactris simplicifrons"
Equisetopsida,Arecales,Arecaceae,"Geonoma camana"
Aves,Piciformes,Picidae,"Celeus grammicus"
Aves,Psittaciformes,Psittacidae,"Pyrilia barrabandi"
Equisetopsida,Arecales,Arecaceae,"Bactris maraja"
Equisetopsida,Arecales,Arecaceae,"Bactris concinna"
Aves,Piciformes,Picidae,"Celeus torquatus"
Equisetopsida,Arecales,Arecaceae,"Bactris brongniartii"
Equisetopsida,Rosales,Cannabaceae,"Celtis schippii"
Equisetopsida,Fabales,Fabaceae,"Inga stipularis"
Aves,Galbuliformes,Bucconidae,"Monasa morphoeus"
Aves,Galliformes,Cracidae,"Pipile cumanensis"
Mammalia,Carnivora,Felidae,"Panthera onca"
Aves,Passeriformes,Thamnophilidae,"Sclateria naevia"
Equisetopsida,Gentianales,Rubiaceae,"Duroia hirsuta"
Equisetopsida,Poales,Cyperaceae,"Scleria secans"
Aves,Galliformes,Cracidae,"Nothocrax urumutum"
Actinopterygii,Characiformes,Curimatidae,"Curimatopsis macrolepis"
Aves,Passeriformes,Furnariidae,"Sclerurus caudacutus"
Aves,Apodiformes,Apodidae,"Panyptila cayennensis"
Aves,Passeriformes,Thamnophilidae,"Pygiptila stellaris"
Aves,Passeriformes,Furnariidae,"Sclerurus rufigularis"
Equisetopsida,Arecales,Arecaceae,"Iriartea deltoidea"
Mammalia,Carnivora,Felidae,"Puma yagouaroundi"
Aves,Passeriformes,Pipridae,"Ceratopipra erythrocephala"
Actinopterygii,Characiformes,Gasteropelecidae,"Gasteropelecus sternicla"
Aves,Passeriformes,Furnariidae,"Automolus subulatus"
Aves,Passeriformes,Thraupidae,"Cyanerpes caeruleus"
