Clase,Orden,Familia,Especie,endemica,amenazada
Reptilia,Serpentes,Dipsadidae,Oxyrhopus petolarius,FALSE,FALSE
Amphibia,Anura,Bufonidae,Rhinella dapsilis,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa nigrifrons,FALSE,FALSE
Amphibia,Anura,Bufonidae,Rhinella ceratophrys,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus turdinus,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris cyanoptera,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus lacustris,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Brosimum rubescens,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Brosimum multinervium,FALSE,FALSE
Aves,Piciformes,Capitonidae,Capito auratus,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Guatteria guianensis,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Salpichlaena volubilis,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Guatteria grandipes,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Brosimum lactescens,FALSE,FALSE
Aves,Piciformes,Capitonidae,Capito aurovirens,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Brosimum guianense,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus marginatus,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea silvatica,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus minor,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Agamia agami,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus polychopterus,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea pterorhachis,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus microlepis,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea kunthiana,FALSE,FALSE
Mammalia,Pilosa,Bradypodidae,Bradypus variegatus,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea fistulosa,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea ecuadoriensis,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Raputia simulans,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea cristata,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea cinnamomea,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Hylophilus thoracicus,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Pachysylvia hypoxantha,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Ocotea javitensis,FALSE,FALSE
