Clase,Orden,Familia,Especie
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Mammalia,Cetartiodactyla,Cervidae,"Mazama chunyi"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Equisetopsida,Asparagales,Orchidaceae,"Chaubardia klugii"
Equisetopsida,Laurales,Lauraceae,"Mezilaurus ita-uba"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Fabales,Fabaceae,"Amburana cearensis"
Equisetopsida,Fabales,Fabaceae,"Copaifera paupera"
Mammalia,Primates,Cebidae,"Saguinus (Tamarinus) labiatus"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Equisetopsida,Brassicales,Capparaceae,"Colicodendron scabridum"
,,,
