Clase,Orden,Familia,Especie
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus ocellatus"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira obtusa"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria antioquoiana"
Aves,Passeriformes,Onychorhynchidae,"Terenotriccus erythrurus"
Equisetopsida,Myrtales,Combretaceae,"Terminalia amazonia"
Equisetopsida,Myrtales,Combretaceae,"Terminalia grandis"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Equisetopsida,Malpighiales,Salicaceae,"Tetrathylacium macrophyllum"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes schistogynus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus palliatus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus schistaceus"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris angustifolia"
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Equisetopsida,Malvales,Malvaceae,"Theobroma glaucum"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum caribaeum"
Equisetopsida,Fabales,Fabaceae,"Swartzia arborescens"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Aves,Passeriformes,Furnariidae,"Thripadectes holostictus"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia brevilingua"
Aves,Tinamiformes,Tinamidae,"Tinamus guttatus"
Aves,Tinamiformes,Tinamidae,"Tinamus major"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Aves,Passeriformes,Tyrannidae,"Tolmomyias assimilis"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Mammalia,Chiroptera,Phyllostomidae,"Trachops cirrhosus"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Equisetopsida,Sapindales,Meliaceae,"Trichilia elegans"
Equisetopsida,Sapindales,Meliaceae,"Trichilia maynasiana"
Equisetopsida,Sapindales,Meliaceae,"Trichilia pallida"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Actinopterygii,Siluriformes,Trichomycteridae,"Trichomycterus megantoni"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira tildae"
Equisetopsida,Myrtales,Melastomataceae,"Triolena amazonica"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris americana"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira oporaphilum"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris weigeltiana"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira magna"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Aves,Passeriformes,Vireonidae,"Tunchiornis ochraceiceps"
Aves,Passeriformes,Turdidae,"Turdus albicollis"
Equisetopsida,Lamiales,Bignoniaceae,"Tynanthus schumannianus"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
