Clase,Orden,Familia,Especie,endemica,amenazada
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus ocellatus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara arthus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chilensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira guianensis,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira obtusa,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria antioquoiana,FALSE,FALSE
Aves,Passeriformes,Onychorhynchidae,Terenotriccus erythrurus,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia amazonia,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia grandis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Mammalia,Lagomorpha,Leporidae,Sylvilagus brasiliensis,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Tetrathylacium macrophyllum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnomanes schistogynus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus palliatus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus schistaceus,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris angustifolia,FALSE,FALSE
Equisetopsida,Cycadales,Zamiaceae,Zamia poeppigiana,FALSE,TRUE
Equisetopsida,Malvales,Malvaceae,Theobroma glaucum,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Zanthoxylum caribaeum,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia arborescens,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis palmarum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Threnetes leucurus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Thripadectes holostictus,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia brevilingua,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus guttatus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus major,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus tao,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias assimilis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Trachops cirrhosus,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micranthum,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia elegans,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia maynasiana,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia pallida,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes elegans,FALSE,FALSE
Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus megantoni,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira tildae,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Triolena amazonica,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris americana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira oporaphilum,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris weigeltiana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira magna,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon collaris,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira erythromos,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Tunchiornis ochraceiceps,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus albicollis,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tynanthus schumannianus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zentrygon frenata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria guianensis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria tomentosa,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Unonopsis stipitata,FALSE,FALSE
Equisetopsida,Asparagales,Amaryllidaceae,Urceolina cyaneosperma,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera caracasana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Uroderma bilobatum,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Uroderma magnirostrum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Zimmerius gracilipes,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Stromanthe stromanthoides,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Vampyressa melissa,FALSE,TRUE
Mammalia,Chiroptera,Phyllostomidae,Vampyressa thyone,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Vampyriscus bidens,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Vampyrodes caraccioli,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus cayanus,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireolanius leucotis,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola calophylla,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola flexuosa,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola mollissima,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola pavonis,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola sebifera,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia coccinea,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia augusta,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia drudei,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Willisornis poecilinotus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Xanthosoma pubescens,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis cherriei,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis gujanensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis cabanisi,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla ucayalae,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Syngonium podophyllum,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana cymosa,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tachigali cavipes,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia quaesita,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium pentaphyllum,FALSE,FALSE
Equisetopsida,Sapindales,Burseraceae,Protium altsonii,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Clibanornis rubiginosus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Eugenia moschata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis hispidus,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Annona neglecta,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Annona neoulei,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator grossus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Socratea exorrhiza,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Eugenia egensis,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga tridactyla,FALSE,TRUE
Equisetopsida,Malpighiales,Clusiaceae,Clusia hammeliana,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Perebea angustifolia,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Clusia loretensis,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus oryzivorus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Hylocharis sapphirina,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Phytelephas macrocarpa,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Cyclarhis gujanensis,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus infuscus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Phytelephas tenuicaulis,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Perebea guianensis,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Clusia nigrolineata,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Perebea humilis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium incurvatum,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Perebea tessmannii,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Monstera adansonii,FALSE,FALSE
Equisetopsida,Oxalidales,Elaeocarpaceae,Sloanea latifolia,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra longicaudis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis guy,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia splendens,FALSE,TRUE
Equisetopsida,Poales,Poaceae,Coix lacryma-jobi,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lonchophylla handleyi,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium flavescens,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium ernestii,FALSE,FALSE
Mammalia,Rodentia,Echimyidae,Proechimys steerei,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia inusitata,FALSE,FALSE
Mammalia,Rodentia,Echimyidae,Proechimys simonsi,FALSE,FALSE
Insecta,Hymenoptera,Ichneumonidae,Anomalon cotoi,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia neospeciosa,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium eminens,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Coereba flaveola,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Cyclodium meniscioides,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus tyrannus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium croatii,FALSE,FALSE
Equisetopsida,Polypodiales,Didymochlaenaceae,Didymochlaena truncatula,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Eschweilera juruensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Cnipodectes superrufus,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Eschweilera coriacea,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus brachycephalus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dracontium spruceanum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Guadua sarcocarpa,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia manuensis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium clavigerum,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dracontium plowmanii,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia hylobates,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dieffenbachia costata,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura caudifer,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura cultrata,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Coccoloba densifrons,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Prodontocharax aquilaepinnae,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lionycteris spurrelli,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium breviscapum,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Hylophilus thoracicus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Erythrina poeppigiana,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Snowornis subalaris,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Coccoloba paraensis,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Procyon cancrivorus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium atropurpureum,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura geoffroyi,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium amoenum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Piprites chloris,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Mazama chunyi,FALSE,TRUE
Equisetopsida,Alismatales,Araceae,Monstera dubia,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Lipaugus vociferans,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Anthracothorax nigricollis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Erythrina ulei,FALSE,FALSE
Equisetopsida,Apiales,Araliaceae,Didymopanax morototoni,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis simus,FALSE,FALSE
Equisetopsida,Polypodiales,Athyriaceae,Diplazium celtidifolium,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Erythrochiton brasiliensis,FALSE,FALSE
Equisetopsida,Pandanales,Cyclanthaceae,Carludovica palmata,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Rhinophylla pumilio,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Campomanesia speciosa,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia benkeithi,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hylophylax naevius,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia brevicauda,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Pachysylvia hypoxantha,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Hadrosciurus ignitus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Brunfelsia grandiflora,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Stenospermation weberbaueri,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator maximus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,FALSE,FALSE
Equisetopsida,Malpighiales,Achariaceae,Carpotroche longifolia,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Himatanthus sucuuba,FALSE,FALSE
Equisetopsida,Malpighiales,Caryocaraceae,Caryocar amygdaliforme,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia tomentosa,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco macrodactylus,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Ocotea bofa,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus melanoleucos,FALSE,FALSE
Mammalia,Chiroptera,Emballonuridae,Saccopteryx bilineata,FALSE,FALSE
Equisetopsida,Celastrales,Celastraceae,Maytenus ebenifolia,FALSE,FALSE
Equisetopsida,Malpighiales,Ochnaceae,Ouratea superba,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia bubalina,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Cascabela thevetia,FALSE,FALSE
Equisetopsida,Polypodiales,Saccolomataceae,Saccoloma inaequale,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Graffenrieda gracilis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Sanchezia oblonga,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Hyospathe elegans,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus variegatus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea angustifolia,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Gossypium barbadense var. Barbadense,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus carbo,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea brachiata,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hafferia fortis,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Otoba parvifolia,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Otoba glycycarpa,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Castilla ulei,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Ocotea aciphylla,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Oligoryzomys microtis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Sapium glandulosum,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Sapium laurifolium,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Calycophyllum spruceanum,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus undulatus,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Sapium marmieri,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos vitellinus,FALSE,FALSE
