Clase,Orden,Familia,Especie
Aves,Gruiformes,Rallidae,"Anurolimnas castaneiceps"
Aves,Columbiformes,Columbidae,"Columbina talpacoti"
Aves,Passeriformes,Thraupidae,"Cissopis leverianus"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx leptura"
Aves,Galbuliformes,Bucconidae,"Bucco macrodactylus"
Aves,Passeriformes,Thraupidae,"Saltator coerulescens"
Aves,Falconiformes,Falconidae,"Falco rufigularis"
Aves,Passeriformes,Furnariidae,"Glyphorynchus spirurus"
Aves,Passeriformes,Thraupidae,"Sporophila corvina"
Aves,Passeriformes,Tyrannidae,"Piprites chloris"
Mammalia,Chiroptera,Phyllostomidae,"Artibeus cinereus"
Mammalia,Carnivora,Procyonidae,"Potos flavus"
Aves,Passeriformes,Thraupidae,"Lanio versicolor"
Aves,Passeriformes,Grallariidae,"Myrmothera campanisona"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Reptilia,Serpentes,Boidae,"Eunectes murinus"
Amphibia,Anura,Hylidae,"Sphaenorhynchus dorisae"
Aves,Passeriformes,Fringillidae,"Euphonia minuta"
Mammalia,Chiroptera,Phyllostomidae,"Artibeus anderseni"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Reptilia,Serpentes,Dipsadidae,"Leptodeira annulata"
Aves,Galliformes,Cracidae,"Mitu tuberosum"
Amphibia,Anura,Dendrobatidae,"Ameerega hahneli"
Aves,Piciformes,Picidae,"Campephilus melanoleucos"
Mammalia,Chiroptera,Emballonuridae,"Rhynchonycteris naso"
Aves,Caprimulgiformes,Caprimulgidae,"Hydropsalis climacocerca"
Amphibia,Anura,Hylidae,"Osteocephalus leprieurii"
Aves,Passeriformes,Tyrannidae,"Myiozetetes luteiventris"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta variegata"
Aves,Passeriformes,Thraupidae,"Chlorophanes spiza"
Aves,Piciformes,Capitonidae,"Eubucco tucinkae"
Amphibia,Anura,Dendrobatidae,"Ameerega macero"
Aves,Accipitriformes,Accipitridae,"Harpagus bidentatus"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx bilineata"
Mammalia,Chiroptera,Phyllostomidae,"Sphaeronycteris toxophyllum"
Mammalia,Chiroptera,Phyllostomidae,"Hsunycteris thomasi"
Amphibia,Anura,Hylidae,"Sphaenorhynchus carneus"
Aves,Psittaciformes,Psittacidae,"Pionus menstruus"
Amphibia,Anura,Dendrobatidae,"Ameerega picta"
Mammalia,Carnivora,Felidae,"Leopardus pardalis"
Aves,Accipitriformes,Accipitridae,"Buteo brachyurus"
Mammalia,Chiroptera,Phyllostomidae,"Artibeus aequatorialis"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Mammalia,Cingulata,Dasypodidae,"Dasypus pastasae"
Reptilia,Serpentes,Viperidae,"Bothrops taeniatus"
Aves,Cuculiformes,Cuculidae,"Dromococcyx pavoninus"
Aves,Falconiformes,Falconidae,"Micrastur gilvicollis"
Aves,Galbuliformes,Galbulidae,"Galbalcyrhynchus leucotis"
Mammalia,Chiroptera,Phyllostomidae,"Phyllostomus elongatus"
Mammalia,Chiroptera,Molossidae,"Molossus rufus"
Mammalia,Rodentia,Cricetidae,"Oecomys superans"
Aves,Accipitriformes,Accipitridae,"Rupornis magnirostris"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Aves,Passeriformes,Grallariidae,"Grallaria eludens"
Aves,Passeriformes,Icteridae,"Psarocolius decumanus"
Aves,Passeriformes,Thraupidae,"Paroaria gularis"
Aves,Passeriformes,Tyrannidae,"Lophotriccus eulophotes"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Psittaciformes,Psittacidae,"Aratinga weddellii"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Reptilia,Serpentes,Viperidae,"Bothrops brazili"
Mammalia,Primates,Cebidae,"Aotus nigriceps"
Aves,Passeriformes,Tyrannidae,"Ramphotrigon ruficauda"
Aves,Passeriformes,Tyrannidae,"Mionectes oleagineus"
Aves,Passeriformes,Thamnophilidae,"Myrmelastes hyperythrus"
Aves,Passeriformes,Passerellidae,"Arremon taciturnus"
Mammalia,Cetartiodactyla,Tayassuidae,"Dicotyles tajacu"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Marmosops) noctivagus"
Reptilia,Sauria,Dactyloidae,"Anolis ortonii"
Reptilia,Serpentes,Viperidae,"Bothrops bilineatus"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula axillaris"
Aves,Passeriformes,Tyrannidae,"Myiozetetes similis"
Aves,Passeriformes,Tyrannidae,"Myiornis ecaudatus"
Aves,Passeriformes,Tyrannidae,"Ramphotrigon megacephalum"
Aves,Passeriformes,Thamnophilidae,"Hypocnemoides maculicauda"
Mammalia,Carnivora,Procyonidae,"Nasua nasua"
Reptilia,Sauria,Dactyloidae,"Anolis fuscoauratus"
Amphibia,Anura,Hylidae,"Dendropsophus marmoratus"
Aves,Cathartiformes,Cathartidae,"Sarcoramphus papa"
Aves,Passeriformes,Tyrannidae,"Ramphotrigon fuscicauda"
Amphibia,Anura,Dendrobatidae,"Ameerega trivittata"
Reptilia,Serpentes,Viperidae,"Bothrops atrox"
Mammalia,Chiroptera,Molossidae,"Eumops perotis"
Aves,Apodiformes,Trochilidae,"Chlorostilbon mellisugus"
Aves,Passeriformes,Thamnophilidae,"Drymophila devillei"
Aves,Ciconiiformes,Ciconiidae,"Jabiru mycteria"
