Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema domingense,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia spruceana,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Struthanthus orbicularis,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Trophis racemosa,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Tachycineta albiventer,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tachyphonus rufus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus cayanus,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Tetrapterys goudotiana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tersina viridis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Zygia longifolia,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria tomentosa,FALSE,FALSE
Equisetopsida,Lamiales,Achariaceae,Tessmanniacanthus chlamydocardioides,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chilensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Selenidera reinwardtii,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Elanoides forficatus,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Hypostomus oculeus,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Campyloneurum phyllitidis,FALSE,FALSE
Aves,Falconiformes,Falconidae,Milvago chimachima,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Cyanerpes caeruleus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Calliandra angustifolia,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia macrostachya,FALSE,FALSE
Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus albifrons,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum lepidotum,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Iochroma arborescens,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum macrocarpum,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Diastema scabrum,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Mabea occidentalis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Dysithamnus leucostictus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chlorophanes spiza,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Mandevilla subsagittata,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Bujurquina syspilus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga ani,FALSE,FALSE
Equisetopsida,Sphagnales,Sphagnaceae,Sphagnum sancto-josephense,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Rostrhamus sociabilis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macropsychanthus huberi,FALSE,FALSE
Aves,Passeriformes,Pipridae,Ceratopipra erythrocephala,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus oseryi,FALSE,FALSE
Aves,Piciformes,Picidae,Dryocopus lineatus,FALSE,FALSE
Equisetopsida,Zingiberales,Heliconiaceae,Heliconia rostrata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chionomesa fimbriata,FALSE,FALSE
Actinopterygii,Characiformes,Parodontidae,Parodon buckleyi,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Dichaea ancoraelabia,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Damburneya purpurea,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus sclateri,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga major,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Rupicola peruvianus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum nemorense,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Rupornis magnirostris,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Cestrum microcalyx,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas subvinacea,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Campyloneurum crassifolium,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Cissopis leverianus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia hylobates,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia chlorotica,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cercomacra cinerascens,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Passovia pyrifolia,FALSE,FALSE
Aves,Passeriformes,Pipridae,Lepidothrix coronata,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Butorides striata,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa morphoeus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum rubicaule,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Aiouea montana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pitangus sulphuratus,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Pteroglossus pluricinctus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Elleanthus capitatus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Elleanthus graminifolius,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Dichaea laxa,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Deconychura longicauda,FALSE,FALSE
Aves,Passeriformes,Icteridae,Icterus croconotus,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia serpens,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia riparia,FALSE,FALSE
Aves,Falconiformes,Falconidae,Daptrius ater,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos vitellinus,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia conoattenuata,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Cupania scrobiculata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Piptocoma discolor,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus mathewsii,FALSE,FALSE
Aves,Piciformes,Picidae,Melanerpes cruentatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes similis,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes melambrotus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Prosthechea crassilabia,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Equisetopsida,Polypodiales,Aspleniaceae,Asplenium juglandifolium,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus carbo,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas plumbea,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Lamontichthys stibaros,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus maximoides,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Acalypha stenoloba,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga ruiziana,FALSE,FALSE
Actinopterygii,Siluriformes,Pimelodidae,Sorubim lima,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Piptadenia peruviana,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Malacoptila rufa,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus menstruus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus cela,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Ladenbergia oblongifolia,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Phlebodium aureum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Gynoxys azuayensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Clibadium eggersii,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Senegalia loretensis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Forpus xanthops,TRUE,TRUE
Equisetopsida,Polypodiales,Polypodiaceae,Serpocaulon dasypleuron,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia striata,FALSE,FALSE
Actinopterygii,Characiformes,Anostomidae,Leporinus striatus,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus opposita,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis atrimentalis,FALSE,FALSE
