Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Equisetopsida,Asparagales,Orchidaceae,"Lycaste macrophylla"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Fabales,Fabaceae,"Copaifera paupera"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum birostratum"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Aves,Galliformes,Cracidae,"Aburria aburri"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya vargasii"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria lepidota"
Reptilia,Crocodylia,Alligatoridae,"Paleosuchus palpebrosus"
Aves,Passeriformes,Parulidae,"Setophaga cerulea"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Fabales,Fabaceae,"Myroxylon peruiferum"
Mammalia,Primates,Cebidae,"Aotus miconax"
,,,
