Clase,Orden,Familia,Especie
Equisetopsida,Magnoliales,Myristicaceae,"Virola peruviana"
Equisetopsida,Malpighiales,Malpighiaceae,"Tetrapterys crispa"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana undulata"
Equisetopsida,Magnoliales,Myristicaceae,"Virola obovata"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea var. coccinea"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos schunkei"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola multinervia"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris consobrina"
Equisetopsida,Malpighiales,Euphorbiaceae,"Tetrorchidium macrophyllum"
Equisetopsida,Magnoliales,Myristicaceae,"Virola marlenei"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira obtusa"
Aves,Passeriformes,Thraupidae,"Tangara cyanotis"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Ericales,Ericaceae,"Thibaudia crenulata"
Equisetopsida,Magnoliales,Myristicaceae,"Virola elongata"
Equisetopsida,Commelinales,Commelinaceae,"Tradescantia zanonia"
Equisetopsida,Myrtales,Melastomataceae,"Triolena amazonica"
Equisetopsida,Malvales,Malvaceae,"Theobroma cacao"
Equisetopsida,Magnoliales,Myristicaceae,"Virola duckei"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus ocellatus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola decorticans"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Equisetopsida,Magnoliales,Myristicaceae,"Virola calophylla"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana flavicans"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia multijuga"
Equisetopsida,Sapindales,Meliaceae,"Trichilia micrantha"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira retusa"
Equisetopsida,Ericales,Symplocaceae,"Symplocos arechea"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana cuspidata"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes plumosum"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana markgrafiana"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Santalales,Loranthaceae,"Tripodanthus acutifolius"
Equisetopsida,Gentianales,Apocynaceae,"Tassadia kamaensis"
Equisetopsida,Sapindales,Meliaceae,"Trichilia pallida"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Fabales,Fabaceae,"Tachigali formicarum"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Magnoliales,Myristicaceae,"Virola caducifolia"
Equisetopsida,Malpighiales,Dichapetalaceae,"Tapura juruana"
Mammalia,Chiroptera,Thyropteridae,"Thyroptera tricolor"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Equisetopsida,Sapindales,Anacardiaceae,"Thyrsodium bolivianum"
Equisetopsida,Celastrales,Celastraceae,"Tontelea laxiflora"
Equisetopsida,Alismatales,Araceae,"Xanthosoma weeksii"
Equisetopsida,Poales,Poaceae,"Taquara micrantha"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Sapindales,Meliaceae,"Trichilia quadrijuga"
Equisetopsida,Arecales,Arecaceae,"Wettinia longipetala"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sananho"
Equisetopsida,Celastrales,Celastraceae,"Tontelea congestiflora"
Equisetopsida,Arecales,Arecaceae,"Wettinia maynensis"
Equisetopsida,Alismatales,Araceae,"Ulearum sagittatum"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon maynense"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Equisetopsida,Sapindales,Anacardiaceae,"Toxicodendron striatum"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos mattogrossensis"
Equisetopsida,Magnoliales,Myristicaceae,"Virola albidiflora"
Aves,Passeriformes,Thamnophilidae,"Willisornis poecilinotus"
Mammalia,Chiroptera,Phyllostomidae,"Trachops cirrhosus"
Equisetopsida,Solanales,Solanaceae,"Witheringia solanacea"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Equisetopsida,Sapindales,Meliaceae,"Trichilia elegans"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma bilobatum"
Equisetopsida,Celastrales,Celastraceae,"Tontelea mauritioides"
Equisetopsida,Fabales,Fabaceae,"Swartzia arborescens"
Equisetopsida,Alismatales,Araceae,"Syngonium podophyllum"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris opulenta"
Equisetopsida,Celastrales,Celastraceae,"Tontelea corymbosa"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Equisetopsida,Commelinales,Haemodoraceae,"Xiphidium caeruleum"
Aves,Cuculiformes,Cuculidae,"Tapera naevia"
Equisetopsida,Fabales,Fabaceae,"Trischidium alternum"
Equisetopsida,Myrtales,Combretaceae,"Terminalia oblonga"
Equisetopsida,Fabales,Fabaceae,"Swartzia myrtifolia var. peruviana"
Aves,Passeriformes,Thraupidae,"Stilpnia viridicollis"
Equisetopsida,Rosales,Moraceae,"Trophis caucana"
Equisetopsida,Myrtales,Combretaceae,"Terminalia macrophylla"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus caerulescens"
Equisetopsida,Fabales,Fabaceae,"Tachigali rodolfo-rocioii"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Furnariidae,"Syndactyla rufosuperciliata"
Aves,Passeriformes,Tyrannidae,"Tolmomyias assimilis"
Equisetopsida,Alismatales,Araceae,"Xanthosoma hannoniae"
Equisetopsida,Poales,Bromeliaceae,"Vriesea dubia"
Equisetopsida,Gentianales,Gentianaceae,"Tachia parviflora"
Equisetopsida,Fabales,Fabaceae,"Vatairea erythrocarpa"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos bredemeyeri"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia obscura"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia lomatophylla"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Equisetopsida,Sapindales,Sapindaceae,"Talisia hemidasya"
Equisetopsida,Alismatales,Araceae,"Xanthosoma hylaeae"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos erichsonii"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus palliatus"
Aves,Passeriformes,Thraupidae,"Tangara chrysotis"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia braceliniae"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis guatterioides"
Equisetopsida,Lamiales,Lamiaceae,"Vitex triflora"
Reptilia,Serpentes,Dipsadidae,"Xenodon severus"
Equisetopsida,Fabales,Fabaceae,"Zapoteca amazonica"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis floribunda"
Equisetopsida,Asparagales,Orchidaceae,"Vanilla mexicana"
Equisetopsida,Alismatales,Araceae,"Xanthosoma poeppigii"
Aves,Passeriformes,Furnariidae,"Synallaxis cabanisi"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus schistaceus"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Aves,Passeriformes,Turdidae,"Turdus ignobilis"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis spectabilis"
Equisetopsida,Fabales,Fabaceae,"Zygia megistocarpa"
Equisetopsida,Malvales,Malvaceae,"Theobroma subincanum"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia calophylla"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris glandulosa var. brachyodus"
Aves,Passeriformes,Tityridae,"Tityra semifasciata"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus doliatus"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomita laurina"
Aves,Columbiformes,Columbidae,"Zentrygon frenata"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana siphilitica"
Aves,Tinamiformes,Tinamidae,"Tinamus major"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma lineatum"
Equisetopsida,Brassicales,Tovariaceae,"Tovaria pendula"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomita weddelliana"
Equisetopsida,Fabales,Fabaceae,"Jupunba laeta"
Equisetopsida,Ericales,Primulaceae,"Clavija longifolia"
Equisetopsida,Alismatales,Araceae,"Anthurium versicolor"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea lasiosora"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum perangustatum"
Equisetopsida,Sapindales,Anacardiaceae,"Astronium graveolens"
Equisetopsida,Alismatales,Araceae,"Anthurium uleanum"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Sloanea floribunda"
Equisetopsida,Poales,Poaceae,"Paspalum conjugatum"
Equisetopsida,Caryophyllales,Phytolaccaceae,"Phytolacca rivinoides"
Equisetopsida,Sapindales,Burseraceae,"Protium divaricatum subsp. krukoffii"
Equisetopsida,Alismatales,Araceae,"Anthurium sizemoreae"
Equisetopsida,Sapindales,Burseraceae,"Protium divaricatum"
Equisetopsida,Alismatales,Araceae,"Anthurium sagittatum"
Equisetopsida,Myrtales,Myrtaceae,"Campomanesia sessiliflora"
Equisetopsida,Sapindales,Burseraceae,"Protium crassipetalum"
Equisetopsida,Alismatales,Araceae,"Anthurium regale"
Equisetopsida,Brassicales,Cleomaceae,"Cleome hispidula"
Equisetopsida,Sapindales,Burseraceae,"Protium aracouchini"
Equisetopsida,Fabales,Fabaceae,"Pterocarpus rohrii"
Equisetopsida,Ericales,Clethraceae,"Clethra obovata"
Equisetopsida,Ericales,Clethraceae,"Clethra pedicellaris"
Equisetopsida,Alismatales,Araceae,"Anthurium patens"
Equisetopsida,Alismatales,Araceae,"Anthurium pachylaminum"
Equisetopsida,Sapindales,Burseraceae,"Protium amazonicum"
Equisetopsida,Alismatales,Araceae,"Anthurium oxycarpum"
Aves,Galliformes,Cracidae,"Chamaepetes goudotii"
Mammalia,Primates,Atelidae,"Ateles chamek"
Equisetopsida,Sapindales,Burseraceae,"Protium altsonii"
Equisetopsida,Aquifoliales,Stemonuraceae,"Discophora montana"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea pinnatifrons"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Equisetopsida,Myrtales,Melastomataceae,"Miconia doniana"
Equisetopsida,Myrtales,Myrtaceae,"Eugenia polystachya"
Equisetopsida,Myrtales,Myrtaceae,"Eugenia omissa"
Aves,Passeriformes,Thamnophilidae,"Myrmelastes leucostigma"
Equisetopsida,Santalales,Olacaceae,"Heisteria scandens"
Equisetopsida,Poales,Bromeliaceae,"Aechmea ferruginea"
Equisetopsida,Myrtales,Myrtaceae,"Eugenia moschata"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea vespa"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Myrtales,Myrtaceae,"Eugenia florida"
Equisetopsida,Fabales,Fabaceae,"Clitoria arborea"
Equisetopsida,Asparagales,Orchidaceae,"Cyclopogon gracilis"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea linearis"
Aves,Accipitriformes,Accipitridae,"Buteo platypterus"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum obliquum"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum macrophyllum"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea costaricana"
Equisetopsida,Malpighiales,Clusiaceae,"Clusia amazonica"
Equisetopsida,Ericales,Ericaceae,"Orthaea ferreyrae"
Equisetopsida,Myrtales,Melastomataceae,"Miconia heteromera"
Equisetopsida,Alismatales,Araceae,"Dracontium peruvianum"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum macrocladum"
Equisetopsida,Alismatales,Araceae,"Anthurium obtusum"
Equisetopsida,Solanales,Solanaceae,"Juanulloa parasitica"
Equisetopsida,Malpighiales,Clusiaceae,"Clusia hammeliana"
Equisetopsida,Rosales,Moraceae,"Perebea angustifolia"
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
Equisetopsida,Malpighiales,Clusiaceae,"Clusia haughtii"
Equisetopsida,Alismatales,Araceae,"Anthurium nigrescens"
Equisetopsida,Polypodiales,Tectariaceae,"Dracoglossum plantagineum"
Equisetopsida,Alismatales,Araceae,"Anthurium michelii"
Equisetopsida,Rosales,Moraceae,"Perebea guianensis"
Equisetopsida,Alismatales,Araceae,"Anthurium latissimum"
Aves,Piciformes,Ramphastidae,"Pteroglossus castanotis"
Equisetopsida,Alismatales,Araceae,"Anthurium kunthii"
