Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Magnoliales,Myristicaceae,Virola peruviana,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Tetrapterys crispa,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana undulata,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola obovata,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Zygia coccinea var. coccinea,FALSE,FALSE
Equisetopsida,Gentianales,Loganiaceae,Strychnos schunkei,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola multinervia,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Equisetopsida,Crossosomatales,Staphyleaceae,Turpinia occidentalis,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris consobrina,TRUE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Tetrorchidium macrophyllum,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola marlenei,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira obtusa,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara cyanotis,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Ericales,Ericaceae,Thibaudia crenulata,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola elongata,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Triolena amazonica,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma cacao,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola duckei,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus ocellatus,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola decorticans,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum chrysocrotaphum,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola calophylla,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana flavicans,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia multijuga,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia micrantha,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira retusa,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos arechea,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana cuspidata,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes plumosum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
