Clase,Orden,Familia,Especie
Equisetopsida,Arecales,Arecaceae,"Mauritia carana"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Aves,Passeriformes,Pipridae,"Neopelma chrysocephalum"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius leucopterus"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Equisetopsida,Malpighiales,Calophyllaceae,"Haploclathra paniculata"
Equisetopsida,Malpighiales,Calophyllaceae,"Haploclathra cordata"
Equisetopsida,Malvales,Malvaceae,"Pachira brevipes"
Equisetopsida,Gentianales,Apocynaceae,"Parahancornia peruviana"
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga"
Aves,Passeriformes,Thamnophilidae,"Percnostola arenarum"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium parviflorum"
Aves,Tinamiformes,Tinamidae,"Crypturellus duidae"
Aves,Tinamiformes,Tinamidae,"Crypturellus casiquiare"
Aves,Passeriformes,Polioptilidae,"Polioptila clementsi"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Malpighiales,Calophyllaceae,"Caraipa utilis"
Mammalia,Primates,Cebidae,"Callimico goeldii"
Mammalia,Primates,Pitheciidae,"Callicebus lucifer"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Cycadales,Zamiaceae,"Zamia ulei"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Aves,Passeriformes,Tyrannidae,"Zimmerius villarejoi"
Aves,Passeriformes,Cotingidae,"Xipholena punicea"
,,,
