Clase,Orden,Familia,Especie
Elasmobranchii,Lamniformes,Lamnidae,"Isurus oxyrinchus"
Elasmobranchii,Carcharhiniformes,Carcharhinidae,"Prionace glauca"
Actinopterygii,Scombriformes,Scombridae,"Sarda chiliensis"
Actinopterygii,Tetraodontiformes,Molidae,"Masturus lanceolatus"
Actinopterygii,Clupeiformes,Engraulidae,"Engraulis ringens"
Aves,Procellariiformes,Procellariidae,"Macronectes halli"
Actinopterygii,Perciformes,Nototheniidae,"Dissostichus eleginoides"
Mammalia,Carnivora,Phocidae,"Hydrurga leptonyx"
Actinopterygii,Scombriformes,Scombridae,"Scomber japonicus"
Mammalia,Cetartiodactyla,Balaenopteridae,"Balaenoptera musculus"
Mammalia,Cetartiodactyla,Balaenopteridae,"Balaenoptera bonaerensis"
Elasmobranchii,Rajiformes,Arhynchobatidae,"Bathyraja brachyurops"
Mammalia,Cetartiodactyla,Delphinidae,"Orcinus orca"
Actinopterygii,Scombriformes,Scombridae,"Katsuwonus pelamis"
Aves,Procellariiformes,Procellariidae,"Pterodroma defilippiana"
Elasmobranchii,Carcharhiniformes,Sphyrnidae,"Sphyrna zygaena"
Mammalia,Carnivora,Otariidae,"Arctocephalus philippii"
Actinopterygii,Carangiformes,Istiophoridae,"Istiophorus platypterus"
Mammalia,Cetartiodactyla,Balaenidae,"Eubalaena australis"
Actinopterygii,Beloniformes,Scomberesocidae,"Cololabis adoceta"
Actinopterygii,Myctophiformes,Myctophidae,"Myctophum affine"
Actinopterygii,Mugiliformes,Mugilidae,"Mugil cephalus"
Mammalia,Carnivora,Phocidae,"Mirounga leonina"
Reptilia,Testudines,Cheloniidae,"Caretta caretta"
Mammalia,Cetartiodactyla,Balaenopteridae,"Megaptera novaeangliae"
Actinopterygii,Perciformes,Nototheniidae,"Patagonotothen ramsayi"
Mammalia,Cetartiodactyla,Physeteridae,"Physeter macrocephalus"
Actinopterygii,Carangiformes,Coryphaenidae,"Coryphaena hippurus"
Mammalia,Cetartiodactyla,Ziphiidae,"Ziphius cavirostris"
Aves,Procellariiformes,Diomedeidae,"Thalassarche eremita"
Aves,Procellariiformes,Diomedeidae,"Thalassarche melanophris"
Aves,Procellariiformes,Diomedeidae,"Thalassarche bulleri"
Aves,Procellariiformes,Diomedeidae,"Thalassarche salvini"
Actinopterygii,Carangiformes,Xiphiidae,"Xiphias gladius"
Actinopterygii,Scombriformes,Scombridae,"Thunnus albacares"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Actinopterygii,Carangiformes,Carangidae,"Trachurus murphyi"
,,,
