Clase,Orden,Familia,Especie,endemica,amenazada
Elasmobranchii,Lamniformes,Lamnidae,Isurus oxyrinchus,FALSE,FALSE
Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace glauca,FALSE,FALSE
Actinopterygii,Scombriformes,Scombridae,Sarda chiliensis,FALSE,FALSE
Actinopterygii,Tetraodontiformes,Molidae,Masturus lanceolatus,FALSE,FALSE
Actinopterygii,Clupeiformes,Engraulidae,Engraulis ringens,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Macronectes halli,FALSE,FALSE
Actinopterygii,Perciformes,Nototheniidae,Dissostichus eleginoides,FALSE,FALSE
Mammalia,Carnivora,Phocidae,Hydrurga leptonyx,FALSE,FALSE
Actinopterygii,Scombriformes,Scombridae,Scomber japonicus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera musculus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera bonaerensis,FALSE,FALSE
Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja brachyurops,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Orcinus orca,FALSE,FALSE
Actinopterygii,Scombriformes,Scombridae,Katsuwonus pelamis,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Pterodroma defilippiana,FALSE,FALSE
Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,FALSE,FALSE
Mammalia,Carnivora,Otariidae,Arctocephalus philippii,FALSE,FALSE
Actinopterygii,Carangiformes,Istiophoridae,Istiophorus platypterus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenidae,Eubalaena australis,FALSE,FALSE
Actinopterygii,Beloniformes,Scomberesocidae,Cololabis adoceta,FALSE,FALSE
Actinopterygii,Myctophiformes,Myctophidae,Myctophum affine,FALSE,FALSE
Actinopterygii,Mugiliformes,Mugilidae,Mugil cephalus,FALSE,FALSE
Mammalia,Carnivora,Phocidae,Mirounga leonina,FALSE,FALSE
Reptilia,Testudines,Cheloniidae,Caretta caretta,FALSE,TRUE
Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera novaeangliae,FALSE,FALSE
Actinopterygii,Perciformes,Nototheniidae,Patagonotothen ramsayi,FALSE,FALSE
Mammalia,Cetartiodactyla,Physeteridae,Physeter macrocephalus,FALSE,FALSE
Actinopterygii,Carangiformes,Coryphaenidae,Coryphaena hippurus,FALSE,FALSE
Mammalia,Cetartiodactyla,Ziphiidae,Ziphius cavirostris,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Thalassarche eremita,FALSE,TRUE
Aves,Procellariiformes,Diomedeidae,Thalassarche melanophris,FALSE,TRUE
Aves,Procellariiformes,Diomedeidae,Thalassarche bulleri,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Thalassarche salvini,FALSE,TRUE
Actinopterygii,Carangiformes,Xiphiidae,Xiphias gladius,FALSE,FALSE
Actinopterygii,Scombriformes,Scombridae,Thunnus albacares,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Actinopterygii,Carangiformes,Carangidae,Trachurus murphyi,FALSE,FALSE
