Clase,Orden,Familia,Especie
Aves,Apodiformes,Trochilidae,"Thaumasius baeri"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Charadriiformes,Thinocoridae,"Thinocorus rumicivorus"
Aves,Charadriiformes,Scolopacidae,"Tringa semipalmata"
Aves,Charadriiformes,Laridae,"Thalasseus maximus"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Equisetopsida,Lamiales,Ehretiaceae,"Tiquilia paronychioides"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Charadriiformes,Laridae,"Thalasseus elegans"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Aves,Charadriiformes,Laridae,"Thalasseus sandvicensis"
Aves,Passeriformes,Furnariidae,"Synallaxis stictothorax"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Aves,Charadriiformes,Scolopacidae,"Tringa incana"
Equisetopsida,Fabales,Fabaceae,"Vachellia macracantha"
Aves,Suliformes,Sulidae,"Sula leucogaster"
Equisetopsida,Lamiales,Ehretiaceae,"Tiquilia dichotoma"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Aves,Charadriiformes,Recurvirostridae,"Himantopus mexicanus"
Aves,Passeriformes,Troglodytidae,"Campylorhynchus fasciatus"
Equisetopsida,Rosales,Urticaceae,"Parietaria debilis"
Equisetopsida,Lamiales,Plantaginaceae,"Galvezia fruticosa"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Aves,Podicipediformes,Podicipedidae,"Podiceps major"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Equisetopsida,Malpighiales,Euphorbiaceae,"Euphorbia hypericifolia"
Equisetopsida,Poales,Poaceae,"Phragmites australis"
Aves,Passeriformes,Polioptilidae,"Polioptila plumbea"
Aves,Charadriiformes,Haematopodidae,"Haematopus ater"
Equisetopsida,Fabales,Fabaceae,"Parkinsonia aculeata"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Charadriiformes,Scolopacidae,"Calidris pusilla"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Boerhavia diffusa"
Aves,Accipitriformes,Accipitridae,"Gampsonyx swainsonii"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Sarcocornia fruticosa"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium angiospermum"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles acutipennis"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Aves,Passeriformes,Tyrannidae,"Myiarchus semirufus"
Aves,Charadriiformes,Laridae,"Leucophaeus pipixcan"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Passeriformes,Thraupidae,"Coereba flaveola"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Aves,Passeriformes,Tyrannidae,"Euscarthmus meloryphus"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Equisetopsida,Solanales,Solanaceae,"Solanum montanum"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Aves,Pelecaniformes,Threskiornithidae,"Platalea ajaja"
Aves,Charadriiformes,Scolopacidae,"Phalaropus lobatus"
Equisetopsida,Brassicales,Bataceae,"Batis maritima"
Mammalia,Rodentia,Cricetidae,"Phyllotis gerbillus"
Aves,Charadriiformes,Charadriidae,"Charadrius nivosus"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Equisetopsida,Apiales,Apiaceae,"Cyclospermum laciniatum"
Equisetopsida,Saxifragales,Crassulaceae,"Crassula connata"
Equisetopsida,Myrtales,Onagraceae,"Oenothera arequipensis"
Aves,Charadriiformes,Laridae,"Sterna hirundo"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Equisetopsida,Malvales,Malvaceae,"Fuertesimalva peruviana"
Aves,Charadriiformes,Laridae,"Leucophaeus atricilla"
