Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Apodiformes,Trochilidae,Thaumasius baeri,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus rumicivorus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa semipalmata,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus maximus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula lorata,FALSE,TRUE
Aves,Suliformes,Sulidae,Sula nebouxii,FALSE,FALSE
Equisetopsida,Lamiales,Ehretiaceae,Tiquilia paronychioides,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Charadriiformes,Laridae,Thalasseus elegans,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Xenospingus concolor,FALSE,TRUE
Aves,Suliformes,Sulidae,Sula variegata,FALSE,TRUE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus sandvicensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis stictothorax,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa incana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vachellia macracantha,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula leucogaster,FALSE,FALSE
Equisetopsida,Lamiales,Ehretiaceae,Tiquilia dichotoma,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Distichlis spicata,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus fasciatus,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Parietaria debilis,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Galvezia fruticosa,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Parabuteo unicinctus,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Podiceps major,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbia hypericifolia,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Phragmites australis,FALSE,FALSE
Aves,Passeriformes,Polioptilidae,Polioptila plumbea,FALSE,FALSE
Aves,Charadriiformes,Haematopodidae,Haematopus ater,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Parkinsonia aculeata,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Plegadis ridgwayi,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Phoebastria irrorata,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Calidris pusilla,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Heliotropium curassavicum,FALSE,FALSE
Equisetopsida,Caryophyllales,Nyctaginaceae,Boerhavia diffusa,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Gampsonyx swainsonii,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Numenius phaeopus,FALSE,FALSE
