Clase,Orden,Familia,Especie
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Charadriiformes,Laridae,"Leucophaeus modestus"
Aves,Charadriiformes,Laridae,"Creagrus furcatus"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Aves,Charadriiformes,Scolopacidae,"Calidris mauri"
Aves,Charadriiformes,Haematopodidae,"Haematopus ater"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Reptilia,Testudines,Dermochelyidae,"Dermochelys coriacea"
Aves,Procellariiformes,Procellariidae,"Pterodroma phaeopygia"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus microphyllus"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Aves,Charadriiformes,Laridae,"Leucophaeus pipixcan"
Aves,Charadriiformes,Recurvirostridae,"Himantopus mexicanus"
Reptilia,Testudines,Cheloniidae,"Eretmochelys imbricata"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates tethys"
Aves,Charadriiformes,Scolopacidae,"Calidris canutus"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Aves,Charadriiformes,Charadriidae,"Pluvialis squatarola"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Mammalia,Cetartiodactyla,Balaenopteridae,"Balaenoptera physalus"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Mammalia,Cetartiodactyla,Delphinidae,"Delphinus delphis"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Aves,Procellariiformes,Procellariidae,"Procellaria westlandica"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Aves,Podicipediformes,Podicipedidae,"Podiceps major"
Aves,Pelecaniformes,Ardeidae,"Egretta tricolor"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Charadriiformes,Laridae,"Gelochelidon nilotica"
Aves,Charadriiformes,Laridae,"Larus belcheri"
Mammalia,Cetartiodactyla,Delphinidae,"Orcinus orca"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus occidentalis"
Aves,Procellariiformes,Procellariidae,"Daption capense"
Aves,Suliformes,Fregatidae,"Fregata magnificens"
Reptilia,Sauria,Tropiduridae,"Microlophus peruvianus"
Aves,Charadriiformes,Scolopacidae,"Calidris alba"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Charadriiformes,Laridae,"Chroicocephalus cirrocephalus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Mammalia,Cetartiodactyla,Balaenopteridae,"Megaptera novaeangliae"
Aves,Charadriiformes,Laridae,"Leucophaeus atricilla"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Aves,Charadriiformes,Laridae,"Thalasseus maximus"
Aves,Charadriiformes,Scolopacidae,"Tringa incana"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Aves,Charadriiformes,Laridae,"Thalasseus elegans"
Aves,Charadriiformes,Scolopacidae,"Tringa semipalmata"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Charadriiformes,Laridae,"Xema sabini"
Mammalia,Carnivora,Otariidae,"Zalophus californianus"
Aves,Suliformes,Sulidae,"Sula granti"
Aves,Suliformes,Sulidae,"Sula leucogaster"
,,,
