Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Pelecaniformes,Pelecanidae,Pelecanus thagus,FALSE,TRUE
Aves,Charadriiformes,Laridae,Leucophaeus modestus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Creagrus furcatus,FALSE,FALSE
Reptilia,Testudines,Cheloniidae,Chelonia mydas,FALSE,TRUE
Aves,Charadriiformes,Haematopodidae,Haematopus palliatus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris mauri,FALSE,FALSE
Aves,Charadriiformes,Haematopodidae,Haematopus ater,FALSE,FALSE
Aves,Charadriiformes,Laridae,Larosterna inca,FALSE,TRUE
Aves,Charadriiformes,Laridae,Larus dominicanus,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Reptilia,Testudines,Dermochelyidae,Dermochelys coriacea,FALSE,TRUE
Aves,Procellariiformes,Procellariidae,Pterodroma phaeopygia,FALSE,TRUE
Reptilia,Sauria,Phyllodactylidae,Phyllodactylus microphyllus,TRUE,FALSE
Aves,Accipitriformes,Pandionidae,Pandion haliaetus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Arenaria interpres,FALSE,FALSE
Mammalia,Carnivora,Otariidae,Otaria flavescens,FALSE,TRUE
Aves,Charadriiformes,Laridae,Leucophaeus pipixcan,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Reptilia,Testudines,Cheloniidae,Eretmochelys imbricata,FALSE,TRUE
Aves,Procellariiformes,Hydrobatidae,Hydrobates tethys,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris canutus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Progne murphyi,FALSE,TRUE
Mammalia,Carnivora,Otariidae,Arctocephalus australis,FALSE,TRUE
Aves,Charadriiformes,Charadriidae,Pluvialis squatarola,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera physalus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Ardenna creatopus,FALSE,TRUE
Mammalia,Cetartiodactyla,Delphinidae,Delphinus delphis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Numenius phaeopus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Procellaria westlandica,FALSE,TRUE
Aves,Falconiformes,Falconidae,Falco peregrinus,FALSE,FALSE
Reptilia,Testudines,Cheloniidae,Lepidochelys olivacea,FALSE,TRUE
Aves,Podicipediformes,Podicipedidae,Podiceps major,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta tricolor,FALSE,FALSE
Aves,Sphenisciformes,Spheniscidae,Spheniscus humboldti,FALSE,TRUE
Aves,Charadriiformes,Charadriidae,Charadrius semipalmatus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Gelochelidon nilotica,FALSE,FALSE
Aves,Charadriiformes,Laridae,Larus belcheri,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Orcinus orca,FALSE,FALSE
Aves,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Daption capense,FALSE,FALSE
Aves,Suliformes,Fregatidae,Fregata magnificens,FALSE,FALSE
Reptilia,Sauria,Tropiduridae,Microlophus peruvianus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris alba,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax brasilianus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Chroicocephalus cirrocephalus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax gaimardi,FALSE,TRUE
Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera novaeangliae,FALSE,FALSE
Aves,Charadriiformes,Laridae,Leucophaeus atricilla,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Phoebastria irrorata,FALSE,TRUE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax bougainvillii,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus maximus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa incana,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus elegans,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa semipalmata,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula nebouxii,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula variegata,FALSE,TRUE
Aves,Charadriiformes,Laridae,Xema sabini,FALSE,FALSE
Mammalia,Carnivora,Otariidae,Zalophus californianus,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula granti,FALSE,TRUE
Aves,Suliformes,Sulidae,Sula leucogaster,FALSE,FALSE
