Clase,Orden,Familia,Especie
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Equisetopsida,Fabales,Fabaceae,"Macrolobium acaciifolium"
Equisetopsida,Piperales,Piperaceae,"Piper augustum"
Aves,Passeriformes,Thamnophilidae,"Dichrozona cincta"
Aves,Passeriformes,Thamnophilidae,"Akletos melanoceps"
Actinopterygii,Characiformes,Characidae,"Moenkhausia dichroura"
Aves,Falconiformes,Falconidae,"Falco rufigularis"
Aves,Psittaciformes,Psittacidae,"Brotogeris cyanoptera"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Equisetopsida,Ericales,Lecythidaceae,"Gustavia augusta"
Actinopterygii,Beloniformes,Belonidae,"Potamorrhaphis guianensis"
Equisetopsida,Fabales,Fabaceae,"Parkia multijuga"
Equisetopsida,Fabales,Fabaceae,"Schizolobium parahyba"
Equisetopsida,Sapindales,Sapindaceae,"Paullinia grandifolia"
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga"
Aves,Passeriformes,Tyrannidae,"Myiopagis gaimardii"
Mammalia,Carnivora,Procyonidae,"Bassaricyon alleni"
Aves,Passeriformes,Furnariidae,"Furnarius leucopus"
Equisetopsida,Rosales,Moraceae,"Batocarpus amazonicus"
Equisetopsida,Piperales,Piperaceae,"Piper costatum"
Aves,Passeriformes,Onychorhynchidae,"Myiobius barbatus"
Equisetopsida,Malvales,Malvaceae,"Pachira brevipes"
Equisetopsida,Fabales,Fabaceae,"Bauhinia brachycalyx"
Actinopterygii,Characiformes,Characidae,"Knodus beta"
Actinopterygii,Characiformes,Characidae,"Knodus breviceps"
Equisetopsida,Myrtales,Melastomataceae,"Miconia dispar"
Aves,Passeriformes,Parulidae,"Parkesia noveboracensis"
Equisetopsida,Fabales,Fabaceae,"Dialium guianense"
Aves,Piciformes,Picidae,"Melanerpes cruentatus"
Aves,Passeriformes,Thraupidae,"Dacnis albiventris"
Equisetopsida,Sapindales,Meliaceae,"Guarea cristata"
Equisetopsida,Lamiales,Bignoniaceae,"Amphilophium crucigerum"
Equisetopsida,Alismatales,Araceae,"Anthurium eminens"
Equisetopsida,Laurales,Lauraceae,"Ocotea leptobotra"
Equisetopsida,Sapindales,Meliaceae,"Guarea glabra"
Equisetopsida,Rosales,Moraceae,"Brosimum utile"
Equisetopsida,Sapindales,Meliaceae,"Guarea guidonia"
Aves,Passeriformes,Thraupidae,"Dacnis cayana"
Equisetopsida,Arecales,Arecaceae,"Euterpe precatoria"
Equisetopsida,Fabales,Fabaceae,"Machaerium multifoliolatum"
Aves,Passeriformes,Tityridae,"Schiffornis turdina"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Rodentia,Erethizontidae,"Coendou prehensilis"
Equisetopsida,Lamiales,Verbenaceae,"Aegiphila trifida"
Equisetopsida,Arecales,Arecaceae,"Desmoncus orthacanthos"
Equisetopsida,Arecales,Arecaceae,"Desmoncus mitis"
Equisetopsida,Sapindales,Meliaceae,"Guarea kunthiana"
Equisetopsida,Arecales,Arecaceae,"Desmoncus giganteus"
Equisetopsida,Fabales,Fabaceae,"Machaerium macrophyllum"
Equisetopsida,Rosales,Moraceae,"Brosimum rubescens"
Aves,Passeriformes,Tityridae,"Schiffornis major"
Aves,Passeriformes,Thraupidae,"Dacnis flaviventer"
Equisetopsida,Fabales,Fabaceae,"Machaerium floribundum"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma megalophylla"
Equisetopsida,Piperales,Piperaceae,"Piper obliquum"
Equisetopsida,Sapindales,Meliaceae,"Guarea macrophylla"
Equisetopsida,Laurales,Lauraceae,"Ocotea oblonga"
Equisetopsida,Malpighiales,Euphorbiaceae,"Mabea subsessilis"
Equisetopsida,Polypodiales,Blechnaceae,"Salpichlaena volubilis"
Equisetopsida,Sapindales,Meliaceae,"Guarea pterorhachis"
Equisetopsida,Sapindales,Sapindaceae,"Paullinia rugosa"
Aves,Passeriformes,Tityridae,"Pachyramphus polychopterus"
Aves,Cathartiformes,Cathartidae,"Cathartes melambrotus"
Aves,Passeriformes,Thraupidae,"Dacnis lineata"
Mammalia,Rodentia,Erethizontidae,"Coendou bicolor"
Equisetopsida,Piperales,Piperaceae,"Piper peltatum"
