Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Accipitriformes,Accipitridae,Ictinia plumbea,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium acaciifolium,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Piper augustum,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Dichrozona cincta,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Akletos melanoceps,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia dichroura,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco rufigularis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris cyanoptera,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Gustavia augusta,FALSE,FALSE
Actinopterygii,Beloniformes,Belonidae,Potamorrhaphis guianensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Parkia multijuga,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Schizolobium parahyba,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Paullinia grandifolia,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Euterpe catinga,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Myiopagis gaimardii,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Bassaricyon alleni,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Furnarius leucopus,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Batocarpus amazonicus,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Piper costatum,FALSE,FALSE
Aves,Passeriformes,Onychorhynchidae,Myiobius barbatus,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Pachira brevipes,FALSE,TRUE
Equisetopsida,Fabales,Fabaceae,Bauhinia brachycalyx,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Knodus beta,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Knodus breviceps,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia dispar,FALSE,FALSE
Aves,Passeriformes,Parulidae,Parkesia noveboracensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dialium guianense,FALSE,FALSE
Aves,Piciformes,Picidae,Melanerpes cruentatus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis albiventris,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea cristata,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Amphilophium crucigerum,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium eminens,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Ocotea leptobotra,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea glabra,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Brosimum utile,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea guidonia,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis cayana,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Euterpe precatoria,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Machaerium multifoliolatum,FALSE,FALSE
Aves,Passeriformes,Tityridae,Schiffornis turdina,FALSE,FALSE
Mammalia,Primates,Atelidae,Alouatta seniculus,FALSE,TRUE
Mammalia,Rodentia,Erethizontidae,Coendou prehensilis,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Aegiphila trifida,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Desmoncus orthacanthos,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Desmoncus mitis,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea kunthiana,FALSE,FALSE
