Clase,Orden,Familia,Especie
Equisetopsida,Magnoliales,Annonaceae,"Annona asplundiana"
Equisetopsida,Magnoliales,Annonaceae,"Annona deminuta"
Equisetopsida,Poales,Bromeliaceae,"Billbergia tessmannii"
Actinopterygii,Characiformes,Curimatidae,"Cyphocharax festivus"
Equisetopsida,Magnoliales,Annonaceae,"Diclinanona tessmannii"
Equisetopsida,Ericales,Ebenaceae,"Diospyros manu"
Equisetopsida,Laurales,Lauraceae,"Endlicheria arachnocome"
Equisetopsida,Malpighiales,Erythroxylaceae,"Erythroxylum vasquezii"
Equisetopsida,Cornales,Myrtaceae,"Eugenia scalariformis"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria modesta"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria scalarinervia"
Equisetopsida,Malpighiales,Calophyllaceae,"Haploclathra cordata"
Equisetopsida,Fabales,Fabaceae,"Inga gereauana"
Equisetopsida,Gentianales,Rubiaceae,"Kutchubaea urophylla"
Equisetopsida,Myrtales,Melastomataceae,"Miconia gonoptera"
Equisetopsida,Asterales,Asteraceae,"Mikania parviflora"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia crassimarginata"
Equisetopsida,Rosales,Moraceae,"Naucleopsis velutina"
Equisetopsida,Rosales,Moraceae,"Perebea longipedunculata"
Equisetopsida,Gentianales,Gentianaceae,"Potalia yanamonoensis"
Equisetopsida,Solanales,Solanaceae,"Solanum nemorosum"
Mammalia,Rodentia,Echimyidae,"Toromys rhipidurus"
Equisetopsida,Sapindales,Sapindaceae,"Talisia pinnata"
Equisetopsida,Myrtales,Melastomataceae,"Votomita pubescens"
Equisetopsida,Malpighiales,Humiriaceae,"Vantanea spichigeri"
,,,
