Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Accipitriformes,Pandionidae,Pandion haliaetus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Abarema auriculata,FALSE,FALSE
Actinopterygii,Characiformes,Anostomidae,Abramites hypselonotus,FALSE,FALSE
Equisetopsida,Ranunculales,Menispermaceae,Abuta grandifolia,FALSE,FALSE
Equisetopsida,Ranunculales,Menispermaceae,Abuta solimoesensis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Acalypha stricta,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Accipiter superciliosus,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus abbreviatus,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus falcirostris,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus heterolepis,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus microlepis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Aciotis acuminifolia,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Aciotis viscida,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Acrostichum aureum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Adelobotrys macrophylla,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Adelobotrys marginatus,FALSE,FALSE
Equisetopsida,Myrtales,Lythraceae,Adenaria floribunda,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Adenocalymma apurense,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Adenocalymma cladotrichum,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Adenocalymma flaviflorum,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Adiantum tomentosum,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Adiscanthus fusciflorus,FALSE,FALSE
Actinopterygii,Gymnotiformes,Apteronotidae,Adontosternarchus balaenops,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea chantinii,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea corymbosa,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea longifolia,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea mertensii,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea strobilacea,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea tillandsioides,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea vallerandii,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila chrysantha,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila elegans,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila herzogii,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila peruviana,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila smithii,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila sufflava,FALSE,FALSE
Actinopterygii,Perciformes,Cichlidae,Aequidens tetramerus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Aeschynomene sensitiva var. amazonica,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Agamia agami,FALSE,FALSE
Actinopterygii,Siluriformes,Doradidae,Agamyxis pectinifrons,FALSE,FALSE
Actinopterygii,Siluriformes,Auchenipteridae,Ageneiosus brevifilis,FALSE,FALSE
Equisetopsida,Santalales,Opiliaceae,Agonandra brasiliensis,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Agoniates anchovia,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Agouticarpa curviflora,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Akletos melanoceps,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchornea castaneifolia,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchornea discolor,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchornea latifolia,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchornea triplinervia,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchorneopsis floribunda,FALSE,FALSE
