Clase,Orden,Familia,Especie
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Equisetopsida,Apiales,Apiaceae,"Azorella diapensioides"
Equisetopsida,Asterales,Asteraceae,"Senecio nutans"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
,,,
