Clase,Orden,Familia,Especie
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Fabales,Fabaceae,"Lupinus pinguis"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia galerasensis"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella potamophila"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Equisetopsida,Cornales,Loasaceae,"Caiophora cirsiifolia"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella brunneotincta"
Equisetopsida,Poales,Poaceae,"Calamagrostis macbridei"
Equisetopsida,Poales,Bromeliaceae,"Puya ponderosa"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Reptilia,Sauria,Liolaemidae,"Liolaemus wari"
Reptilia,Sauria,Liolaemidae,"Liolaemus williamsi"
Equisetopsida,Solanales,Solanaceae,"Jaltomata diversa"
Aves,Passeriformes,Furnariidae,"Pseudasthenes cactorum"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia andina"
Aves,Passeriformes,Furnariidae,"Asthenes ottonis"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
Equisetopsida,Poales,Poaceae,"Festuca peruviana"
Equisetopsida,Poales,Poaceae,"Festuca lasiorrhachis"
Equisetopsida,Poales,Poaceae,"Festuca huamachucensis"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
,,,
