Clase,Orden,Familia,Especie
Equisetopsida,Malvales,Malvaceae,"Tarasa urbaniana"
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Equisetopsida,Poales,Poaceae,"Stipa hans-meyeri"
Aves,Tinamiformes,Tinamidae,"Tinamotis pentlandii"
Equisetopsida,Rosales,Rosaceae,"Tetraglochin alata"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Charadriiformes,Thinocoridae,"Thinocorus rumicivorus"
Aves,Passeriformes,Furnariidae,"Upucerthia albigula"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Equisetopsida,Rosales,Urticaceae,"Urtica flabellata"
Equisetopsida,Asterales,Asteraceae,"Werneria pygmaea"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Poales,Poaceae,"Trisetum spicatum"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Equisetopsida,Poales,Poaceae,"Vulpia myuros var. hirsuta"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera peruviana"
Equisetopsida,Asterales,Asteraceae,"Werneria apiculata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana asplenifolia"
Equisetopsida,Poales,Cyperaceae,"Trichophorum rigidum"
Equisetopsida,Fabales,Fabaceae,"Trifolium amabile"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Equisetopsida,Poales,Poaceae,"Nassella inconspicua"
Equisetopsida,Geraniales,Geraniaceae,"Erodium cicutarium"
Equisetopsida,Poales,Poaceae,"Nassella brachyphylla"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Equisetopsida,Fabales,Fabaceae,"Lupinus ananeanus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Arenaria tetragyna"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Equisetopsida,Poales,Poaceae,"Deschampsia ovata"
Insecta,Diptera,Calliphoridae,"Compsomyiops melloi"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Insecta,Diptera,Calliphoridae,"Compsomyiops arequipensis"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Aves,Passeriformes,Tyrannidae,"Anairetes parulus"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Equisetopsida,Poales,Poaceae,"Dielsiochloa floribunda"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Equisetopsida,Poales,Juncaceae,"Luzula racemosa"
Equisetopsida,Lamiales,Orobanchaceae,"Castilleja fissifolia"
Equisetopsida,Fabales,Fabaceae,"Lupinus microphyllus"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Equisetopsida,Poales,Juncaceae,"Luzula peruviana"
Equisetopsida,Myrtales,Onagraceae,"Epilobium denticulatum"
Aves,Charadriiformes,Laridae,"Chroicocephalus serranus"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus trichophyllus"
Aves,Columbiformes,Columbidae,"Metriopelia aymara"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Equisetopsida,Poales,Poaceae,"Anatherostipa obtusa"
Equisetopsida,Poales,Poaceae,"Anatherostipa rigidiseta"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus orbygnesius"
Equisetopsida,Fabales,Fabaceae,"Lupinus pinguis"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Aves,Passeriformes,Thraupidae,"Phrygilus punensis"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Equisetopsida,Asterales,Asteraceae,"Erigeron ecuadoriensis"
Equisetopsida,Asterales,Asteraceae,"Erigeron bonariensis"
Equisetopsida,Asterales,Asteraceae,"Hypochaeris echegarayi"
Insecta,Diptera,Calliphoridae,"Sarconesia splendida"
Insecta,Diptera,Calliphoridae,"Sarconesia versicolor"
Insecta,Diptera,Calliphoridae,"Sarconesiopsis magellanica"
Equisetopsida,Asparagales,Iridaceae,"Sisyrinchium jamesonii"
Equisetopsida,Asterales,Asteraceae,"Hypochaeris taraxacoides"
Aves,Passeriformes,Tyrannidae,"Ochthoeca oenanthoides"
Aves,Passeriformes,Tyrannidae,"Lessonia oreas"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Equisetopsida,Poales,Poaceae,"Poa annua"
Aves,Accipitriformes,Accipitridae,"Buteo brachyurus"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Insecta,Diptera,Calliphoridae,"Calliphora nigribasis"
Equisetopsida,Malvales,Malvaceae,"Acaulimalva purdiei"
Equisetopsida,Saxifragales,Saxifragaceae,"Saxifraga magellanica"
Equisetopsida,Asterales,Asteraceae,"Bidens andicola"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia galerasensis"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis lutea"
Equisetopsida,Saxifragales,Grossulariaceae,"Ribes cuneifolium"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
