Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Melastomataceae,"Miconia symplectocaulos"
Actinopterygii,Gymnotiformes,Gymnotidae,"Gymnotus carapo"
Aves,Strigiformes,Strigidae,"Ciccaba virgata"
Aves,Psittaciformes,Psittacidae,"Forpus modestus"
Aves,Passeriformes,Icteridae,"Gymnomystax mexicanus"
Equisetopsida,Malpighiales,Violaceae,"Rinorea lindeniana"
Equisetopsida,Arecales,Arecaceae,"Geonoma deversa"
Aves,Psittaciformes,Psittacidae,"Brotogeris cyanoptera"
Aves,Charadriiformes,Charadriidae,"Charadrius collaris"
Equisetopsida,Alismatales,Araceae,"Dracontium spruceanum"
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Aves,Strigiformes,Strigidae,"Lophostrix cristata"
Actinopterygii,Siluriformes,Cetopsidae,"Helogenes marmoratus"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles nacunda"
Aves,Accipitriformes,Accipitridae,"Leptodon cayanensis"
Actinopterygii,Characiformes,Characidae,"Moenkhausia agnesae"
Aves,Galbuliformes,Galbulidae,"Galbalcyrhynchus leucotis"
Aves,Eurypygiformes,Eurypygidae,"Eurypyga helias"
Aves,Passeriformes,Thraupidae,"Ramphocelus nigrogularis"
Aves,Passeriformes,Thraupidae,"Loriotus luctuosus"
Mammalia,Carnivora,Felidae,"Panthera onca"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Neea divaricata"
Aves,Piciformes,Picidae,"Melanerpes cruentatus"
Equisetopsida,Ericales,Lecythidaceae,"Couratari oligantha"
Aves,Passeriformes,Icteridae,"Psarocolius viridis"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula brachyura"
Aves,Passeriformes,Furnariidae,"Nasica longirostris"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus latirostris"
Elasmobranchii,Myliobatiformes,Potamotrygonidae,"Potamotrygon motoro"
Aves,Passeriformes,Icteridae,"Psarocolius decumanus"
Aves,Passeriformes,Formicariidae,"Chamaeza nobilis"
Actinopterygii,Siluriformes,Aspredinidae,"Pterobunocephalus dolichurus"
Aves,Passeriformes,Furnariidae,"Dendrocincla fuliginosa"
Aves,Falconiformes,Falconidae,"Micrastur semitorquatus"
Aves,Passeriformes,Tyrannidae,"Phaeomyias murina"
Aves,Galliformes,Cracidae,"Nothocrax urumutum"
Equisetopsida,Rosales,Moraceae,"Sorocea pubivena"
Aves,Passeriformes,Tityridae,"Schiffornis major"
Equisetopsida,Aquifoliales,Aquifoliaceae,"Ilex vismiifolia"
Aves,Charadriiformes,Scolopacidae,"Calidris melanotos"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus capitalis"
Aves,Galliformes,Odontophoridae,"Odontophorus gujanensis"
Aves,Piciformes,Ramphastidae,"Pteroglossus azara"
Aves,Passeriformes,Hirundinidae,"Atticora fasciata"
Aves,Passeriformes,Thraupidae,"Hemithraupis flavicollis"
Equisetopsida,Gentianales,Apocynaceae,"Parahancornia peruviana"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius aethereus"
Aves,Piciformes,Picidae,"Dryocopus lineatus"
Aves,Apodiformes,Trochilidae,"Phaethornis atrimentalis"
Equisetopsida,Malpighiales,Violaceae,"Rinorea flavescens"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus euleri"
Aves,Passeriformes,Icteridae,"Psarocolius bifasciatus"
Aves,Passeriformes,Tyrannidae,"Legatus leucophaius"
Aves,Passeriformes,Thraupidae,"Dacnis cayana"
Aves,Passeriformes,Tyrannidae,"Hemitriccus iohannis"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Aves,Piciformes,Ramphastidae,"Pteroglossus castanotis"
Aves,Apodiformes,Trochilidae,"Phaethornis bourcieri"
Equisetopsida,Magnoliales,Myristicaceae,"Osteophloeum platyspermum"
Aves,Passeriformes,Thamnophilidae,"Microrhopias quixensis"
Aves,Passeriformes,Pipridae,"Neopelma chrysocephalum"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus calopterus"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Equisetopsida,Santalales,Olacaceae,"Olax candida"
Aves,Passeriformes,Furnariidae,"Dendrocincla merula"
Aves,Charadriiformes,Scolopacidae,"Gallinago paraguaiae"
Aves,Passeriformes,Cotingidae,"Cotinga maynana"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Piciformes,Ramphastidae,"Pteroglossus inscriptus"
Aves,Opisthocomiformes,Opisthocomidae,"Opisthocomus hoazin"
Aves,Passeriformes,Tyrannidae,"Hemitriccus zosterops"
Aves,Passeriformes,Icteridae,"Psarocolius angustifrons"
Aves,Apodiformes,Apodidae,"Chaetura egregia"
Aves,Piciformes,Ramphastidae,"Pteroglossus pluricinctus"
Aves,Passeriformes,Thraupidae,"Sporophila murallae"
Aves,Apodiformes,Apodidae,"Chaetura cinereiventris"
Equisetopsida,Myrtales,Vochysiaceae,"Erisma bicolor"
Equisetopsida,Sapindales,Sapindaceae,"Paullinia caloptera"
Aves,Apodiformes,Trochilidae,"Phaethornis hispidus"
Aves,Passeriformes,Fringillidae,"Euphonia rufiventris"
Aves,Passeriformes,Furnariidae,"Dendrocolaptes certhia"
Aves,Apodiformes,Apodidae,"Chaetura brachyura"
Aves,Pelecaniformes,Ardeidae,"Agamia agami"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Aves,Columbiformes,Columbidae,"Columbina talpacoti"
Aves,Galbuliformes,Bucconidae,"Notharchus tectus"
Aves,Passeriformes,Passerellidae,"Ammodramus aurifrons"
Equisetopsida,Magnoliales,Myristicaceae,"Compsoneura capitellata"
Aves,Passeriformes,Furnariidae,"Campylorhamphus trochilirostris"
Aves,Coraciiformes,Alcedinidae,"Chloroceryle americana"
Equisetopsida,Rosales,Moraceae,"Naucleopsis ulei"
Aves,Passeriformes,Furnariidae,"Dendrocolaptes picumnus"
Aves,Passeriformes,Thraupidae,"Ramphocelus flammigerus"
Aves,Passeriformes,Troglodytidae,"Henicorhina leucosticta"
Aves,Passeriformes,Thamnophilidae,"Megastictus margaritatus"
