Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Myrtales,Melastomataceae,Miconia symplectocaulos,FALSE,FALSE
Actinopterygii,Gymnotiformes,Gymnotidae,Gymnotus carapo,FALSE,FALSE
Aves,Strigiformes,Strigidae,Ciccaba virgata,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Forpus modestus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Gymnomystax mexicanus,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Rinorea lindeniana,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Geonoma deversa,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris cyanoptera,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius collaris,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dracontium spruceanum,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Ictinia plumbea,FALSE,FALSE
Aves,Strigiformes,Strigidae,Lophostrix cristata,FALSE,FALSE
Actinopterygii,Siluriformes,Cetopsidae,Helogenes marmoratus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles nacunda,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Leptodon cayanensis,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia agnesae,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Galbalcyrhynchus leucotis,FALSE,FALSE
Aves,Eurypygiformes,Eurypygidae,Eurypyga helias,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Loriotus luctuosus,FALSE,FALSE
Mammalia,Carnivora,Felidae,Panthera onca,FALSE,FALSE
Equisetopsida,Caryophyllales,Nyctaginaceae,Neea divaricata,FALSE,FALSE
Aves,Piciformes,Picidae,Melanerpes cruentatus,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Couratari oligantha,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius viridis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula brachyura,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Nasica longirostris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Poecilotriccus latirostris,FALSE,FALSE
Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon motoro,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius decumanus,FALSE,FALSE
Aves,Passeriformes,Formicariidae,Chamaeza nobilis,FALSE,FALSE
Actinopterygii,Siluriformes,Aspredinidae,Pterobunocephalus dolichurus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocincla fuliginosa,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur semitorquatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phaeomyias murina,FALSE,FALSE
Aves,Galliformes,Cracidae,Nothocrax urumutum,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Sorocea pubivena,FALSE,FALSE
Aves,Passeriformes,Tityridae,Schiffornis major,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex vismiifolia,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris melanotos,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Poecilotriccus capitalis,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Pteroglossus azara,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Atticora fasciata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Hemithraupis flavicollis,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Parahancornia peruviana,FALSE,TRUE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius aethereus,FALSE,FALSE
Aves,Piciformes,Picidae,Dryocopus lineatus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis atrimentalis,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Rinorea flavescens,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lathrotriccus euleri,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius bifasciatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Legatus leucophaius,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis cayana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus iohannis,FALSE,FALSE
Mammalia,Primates,Atelidae,Ateles belzebuth,FALSE,TRUE
Aves,Piciformes,Ramphastidae,Pteroglossus castanotis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis bourcieri,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Osteophloeum platyspermum,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Microrhopias quixensis,FALSE,FALSE
Aves,Passeriformes,Pipridae,Neopelma chrysocephalum,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Poecilotriccus calopterus,FALSE,FALSE
Aves,Charadriiformes,Rhynchopidae,Rynchops niger,FALSE,FALSE
Equisetopsida,Santalales,Olacaceae,Olax candida,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocincla merula,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Gallinago paraguaiae,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Cotinga maynana,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura pelagica,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Pteroglossus inscriptus,FALSE,FALSE
Aves,Opisthocomiformes,Opisthocomidae,Opisthocomus hoazin,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus zosterops,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius angustifrons,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura egregia,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Pteroglossus pluricinctus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila murallae,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura cinereiventris,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Erisma bicolor,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Paullinia caloptera,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis hispidus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia rufiventris,FALSE,FALSE
