Clase,Orden,Familia,Especie
Equisetopsida,Boraginales,Boraginaceae,"Tiquilia ferreyrae"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella brongniartioides"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella raimondiana"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Equisetopsida,Asterales,Asteraceae,"Senecio calcicola"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Equisetopsida,Asterales,Asteraceae,"Ambrosia dentata"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
,,,
