Clase,Orden,Familia,Especie
Equisetopsida,Boraginales,Boraginaceae,"Tiquilia ferreyrae"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia latifolia var. Major"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella brongniartioides"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia landbeckii subsp. andina"
Equisetopsida,Fabales,Fabaceae,"Weberbauerella raimondiana"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia marconae"
Equisetopsida,Malvales,Malvaceae,"Cristaria multifida"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Equisetopsida,Caryophyllales,Cactaceae,"Eriosyce islayensis"
Equisetopsida,Asterales,Asteraceae,"Onoseris humboldtiana"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus decumbens"
Equisetopsida,Brassicales,Brassicaceae,"Dictyophragmus englerianus"
Equisetopsida,Asterales,Asteraceae,"Ambrosia dentata"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago limensis"
Equisetopsida,Solanales,Solanaceae,"Nolana tovariana"
Equisetopsida,Solanales,Solanaceae,"Nolana thinophila"
Equisetopsida,Solanales,Solanaceae,"Nolana spathulata"
Equisetopsida,Solanales,Solanaceae,"Nolana plicata"
Equisetopsida,Solanales,Solanaceae,"Nolana pallida"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Equisetopsida,Solanales,Solanaceae,"Solanum murphyi"
Equisetopsida,Malvales,Malvaceae,"Palaua trisepala"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Aves,Passeriformes,Furnariidae,"Cinclodes taczanowskii"
Equisetopsida,Solanales,Solanaceae,"Leptoglossis lomana"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
,,,
