Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula leucogaster,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula granti,FALSE,TRUE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula dactylatra,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Thalassarche chrysostoma,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Tringa incana,FALSE,FALSE
Aves,Charadriiformes,Laridae,Xema sabini,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus elegans,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus maximus,FALSE,FALSE
Elasmobranchii,Rhinopristiformes,Rhinobatidae,Zapteryx exasperata,FALSE,FALSE
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon chilensis,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula nebouxii,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia brevicaudata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus tyrannus,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula variegata,FALSE,TRUE
Actinopterygii,'-,Haemulidae,Microlepidotus brevipinnis,FALSE,FALSE
Actinopterygii,Perciformes,Sciaenidae,Sciaena deliciosa,FALSE,FALSE
Mammalia,Carnivora,Phocidae,Mirounga leonina,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Reptilia,Testudines,Cheloniidae,Chelonia mydas,FALSE,TRUE
Aves,Pelecaniformes,Ardeidae,Egretta caerulea,FALSE,FALSE
Reptilia,Sauria,Tropiduridae,Microlophus theresiae,TRUE,FALSE
Actinopterygii,Perciformes,Pomacentridae,Stegastes acapulcoensis,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius wilsonia,FALSE,FALSE
Actinopterygii,Perciformes,Pinguipedidae,Pinguipes chilensis,FALSE,FALSE
Actinopterygii,Perciformes,Scorpaenidae,Scorpaena histrio,FALSE,FALSE
Actinopterygii,'-,Haemulidae,Anisotremus scapularis,FALSE,FALSE
