Clase,Orden,Familia,Especie
Aves,Tinamiformes,Tinamidae,"Tinamus osgoodi"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Equisetopsida,Asparagales,Orchidaceae,"Chaubardia klugii"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
,,,
