Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Acanthaceae,"Suessenguthia vargasii"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia acuminata subsp. Immaculata"
Equisetopsida,Fabales,Fabaceae,"Senna birostris"
Equisetopsida,Rosales,Rosaceae,"Prunus detrita"
Equisetopsida,Ericales,Myrsinaceae,"Cybianthus candamoensis"
Equisetopsida,Ericales,Primulaceae,"Cybianthus nanayensis"
Equisetopsida,Fabales,Fabaceae,"Piptadenia killipii"
Equisetopsida,Gentianales,Rubiaceae,"Kutchubaea urophylla"
Equisetopsida,Magnoliales,Annonaceae,"Klarobelia candida"
Equisetopsida,Ericales,Ebenaceae,"Diospyros manu"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Equisetopsida,Alismatales,Araceae,"Anthurium manuanum"
,,,
