Clase,Orden,Familia,Especie
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris americana"
Insecta,Lepidoptera,Hesperiidae,"Telemiades antiope tosca"
Aves,Trogoniformes,Trogonidae,"Trogon rufus"
Insecta,Lepidoptera,Hesperiidae,"Telemiades amphios misitheus"
Insecta,Lepidoptera,Hesperiidae,"Urbanus reductus"
Insecta,Diptera,Tabanidae,"Stypommisa pequeniensis"
Equisetopsida,Sapindales,Burseraceae,"Trattinnickia boliviana"
Insecta,Odonata,Coenagrionidae,"Telebasis digiticollis"
Equisetopsida,Sapindales,Sapindaceae,"Talisia cupularis"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Insecta,Lepidoptera,Lycaenidae,"""Thecla"" vesper"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Insecta,Lepidoptera,Nymphalidae,"Tegosa claudina"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria pilosa"
Equisetopsida,Fabales,Fabaceae,"Swartzia leptopetala"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia calophylla"
Equisetopsida,Lamiales,Bignoniaceae,"Tanaecium pyramidatum"
Equisetopsida,Sapindales,Sapindaceae,"Talisia mollis"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Insecta,Lepidoptera,Nymphalidae,"Taygetis virgila"
Insecta,Lepidoptera,Nymphalidae,"Taygetis thamyra"
Equisetopsida,Sapindales,Sapindaceae,"Talisia croatii"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Insecta,Lepidoptera,Nymphalidae,"Taygetis sylvia"
Insecta,Lepidoptera,Nymphalidae,"Taygetis sosis"
Insecta,Lepidoptera,Nymphalidae,"Taygetis mermeria mermeria"
Equisetopsida,Fabales,Fabaceae,"Swartzia amplifolia"
Aves,Passeriformes,Thamnophilidae,"Willisornis poecilinotus"
Insecta,Lepidoptera,Nymphalidae,"Taygetis larua"
Insecta,Lepidoptera,Nymphalidae,"Taygetis echo koepckei"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Aves,Passeriformes,Thamnophilidae,"Thamnistes rufescens"
Insecta,Lepidoptera,Lycaenidae,"""Thecla"" tyriam"
Insecta,Lepidoptera,Hesperiidae,"Urbanus simplicius"
Insecta,Lepidoptera,Nymphalidae,"Taygetis cleopatra"
Insecta,Lepidoptera,Hesperiidae,"Tromba tromba"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Equisetopsida,Asparagales,Orchidaceae,"Wullschlaegelia calcarata"
Actinopterygii,Siluriformes,Loricariidae,"Sturisoma nigrirostrum"
Insecta,Lepidoptera,Erebidae,"Xanthopleura perspicua"
Insecta,Lepidoptera,Lycaenidae,"""Thecla"" falerina"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Alismatales,Araceae,"Xanthosoma brevispathaceum"
Insecta,Lepidoptera,Hesperiidae,"Vinius tryhana tryhana"
Insecta,Lepidoptera,Hesperiidae,"Vinius saggita"
Equisetopsida,Alismatales,Araceae,"Xanthosoma helleborifolium"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Insecta,Odonata,Libellulidae,"Tauriphila argo"
Aves,Passeriformes,Furnariidae,"Synallaxis albescens"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes ardesiacus"
Insecta,Diptera,Tabanidae,"Stypommisa prunicolor"
Equisetopsida,Alismatales,Araceae,"Xanthosoma viviparum"
