Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris americana,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Telemiades antiope tosca,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon rufus,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Telemiades amphios misitheus,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Urbanus reductus,FALSE,FALSE
Insecta,Diptera,Tabanidae,Stypommisa pequeniensis,FALSE,FALSE
Equisetopsida,Sapindales,Burseraceae,Trattinnickia boliviana,FALSE,FALSE
Insecta,Odonata,Coenagrionidae,Telebasis digiticollis,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Talisia cupularis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis palmarum,FALSE,FALSE
Insecta,Lepidoptera,Lycaenidae,"""Thecla"" vesper",FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Tegosa claudina,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria pilosa,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia leptopetala,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Xylopia calophylla,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tanaecium pyramidatum,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Talisia mollis,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne rutila,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis virgila,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis thamyra,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Talisia croatii,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis sylvia,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis sosis,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis mermeria mermeria,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia amplifolia,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Willisornis poecilinotus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis larua,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Taygetis echo koepckei,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon viridis,FALSE,FALSE
