Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Zygophyllales,Krameriaceae,"Krameria lappacea"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Equisetopsida,Solanales,Solanaceae,"Solanum sogarandinum"
Equisetopsida,Caryophyllales,Cactaceae,"Melocactus peruvianus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Jatropha macrantha"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Equisetopsida,Asterales,Asteraceae,"Smallanthus glabratus"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Equisetopsida,Rosales,Rosaceae,"Kageneckia lanceolata"
Equisetopsida,Asparagales,Amaryllidaceae,"Rauhia multiflora"
Equisetopsida,Polypodiales,Pteridaceae,"Argyrochosma nivea"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus pacalaensis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Cnidoscolus basiacanthus"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia octopetala"
Equisetopsida,Brassicales,Capparaceae,"Colicodendron scabridum"
,,,
