Clase,Orden,Familia,Especie
Equisetopsida,Fabales,Fabaceae,"Vigna luteola"
Aves,Apodiformes,Trochilidae,"Thaumasius taczanowskii"
Equisetopsida,Malvales,Malvaceae,"Waltheria indica"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Rosales,Rosaceae,"Tetraglochin cristata"
Equisetopsida,Asterales,Asteraceae,"Trixis cacalioides"
Equisetopsida,Santalales,Loranthaceae,"Tripodanthus acutifolius"
Equisetopsida,Asterales,Asteraceae,"Zinnia peruviana"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia crystallina"
Equisetopsida,Asterales,Asteraceae,"Villanova oppositifolia"
Equisetopsida,Lamiales,Verbenaceae,"Verbena hispida"
Equisetopsida,Malvales,Malvaceae,"Tarasa cerratei"
Equisetopsida,Poales,Typhaceae,"Typha angustifolia"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Equisetopsida,Poales,Poaceae,"Tripogon spicatus"
Equisetopsida,Lamiales,Verbenaceae,"Verbena litoralis"
Equisetopsida,Caryophyllales,Talinaceae,"Talinum triangulare"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus bernardi"
Equisetopsida,Asterales,Asteraceae,"Tagetes multiflora"
Equisetopsida,Asterales,Asteraceae,"Wedelia calycina"
Equisetopsida,Lamiales,Ehretiaceae,"Tiquilia paronychioides"
Equisetopsida,Asterales,Asteraceae,"Xanthium spinosum"
Equisetopsida,Poales,Poaceae,"Tragus berteronianus"
Equisetopsida,Polypodiales,Woodsiaceae,"Woodsia montevidensis"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia usneoides"
Equisetopsida,Poales,Poaceae,"Vulpia myuros"
Equisetopsida,Rosales,Urticaceae,"Urtica urens"
Equisetopsida,Fabales,Fabaceae,"Trifolium amabile"
Equisetopsida,Lamiales,Cordiaceae,"Varronia macrocephala"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia cauligera"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Equisetopsida,Fabales,Fabaceae,"Vicia andicola"
Equisetopsida,Asterales,Asteraceae,"Verbesina saubinetioides"
Equisetopsida,Asterales,Asteraceae,"Syncretocarpus sericeus"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Asterales,Campanulaceae,"Wahlenbergia peruviana"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Asterales,Asteraceae,"Tagetes filifolia"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Fabales,Fabaceae,"Vachellia macracantha"
Equisetopsida,Asterales,Asteraceae,"Syncretocarpus ancashino"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Equisetopsida,Santalales,Loranthaceae,"Tristerix peruvianus"
Equisetopsida,Caryophyllales,Basellaceae,"Ullucus tuberosus"
Equisetopsida,Solanales,Namaceae,"Wigandia urens"
Equisetopsida,Malvales,Malvaceae,"Urocarpidium peruvianum"
Equisetopsida,Asterales,Asteraceae,"Stevia macbridei"
Equisetopsida,Zygophyllales,Zygophyllaceae,"Tribulus terrestris"
Equisetopsida,Caryophyllales,Aizoaceae,"Trianthema portulacastrum"
