Clase,Orden,Familia,Especie
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Podicipediformes,Podicipedidae,"Podiceps taczanowskii"
Equisetopsida,Apiales,Apiaceae,"Azorella compacta"
Equisetopsida,Asterales,Asteraceae,"Perezia pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Amphibia,Anura,Telmatobiidae,"Telmatobius macrostomus"
Amphibia,Anura,Telmatobiidae,"Telmatobius brachydactylus"
,,,
