Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Lesbia victoriae,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Lesbia nuna,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus bogotensis,FALSE,FALSE
Aves,Columbiformes,Columbidae,Leptotila verreauxi,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus correndera,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum acaule,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus furcatus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia laniirostris,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Cistothorus platensis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Circus cinereus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Piptochaetium featherstonei,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis vicunarum,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Hippocamelus antisensis,FALSE,TRUE
Aves,Passeriformes,Cinclidae,Cinclus leucocephalus,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex ecuadorica,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Leptasthenura pileata,TRUE,FALSE
Aves,Passeriformes,Furnariidae,Leptasthenura andicola,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes palliatus,TRUE,TRUE
Aves,Passeriformes,Furnariidae,Cinclodes atacamensis,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax brasilianus,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Plegadis ridgwayi,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis montanus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes albiventris,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Chuquiraga spinosa,FALSE,FALSE
