Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Asterales,Asteraceae,Acmella oleracea,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Astragalus brackenridgei,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes reguloides,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Amaranthus celosioides,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus magellanicus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Poospiza hispaniolensis,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum pennellii,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga sulcirostris,FALSE,FALSE
Equisetopsida,Boraginales,Boraginaceae,Cryptantha granulosa,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbia heterophylla,FALSE,FALSE
Equisetopsida,Boraginales,Boraginaceae,Cryptantha limensis,FALSE,FALSE
Equisetopsida,Brassicales,Capparaceae,Morisonia petiolaris,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Hyptis sidifolia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Gamochaeta americana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Paranephelius ovatus,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis lomana,TRUE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax bougainvillii,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cynodon dactylon,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Gamochaeta purpurea,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum mochiquense,TRUE,FALSE
Equisetopsida,Apiales,Apiaceae,Bowlesia palmata,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Drymaria apetala,FALSE,FALSE
Equisetopsida,Ericales,Polemoniaceae,Gilia laciniata,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Exodeconus prostratus,TRUE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis megalorrhiza,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psilopsiagon aurifrons,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Scutellaria ocymoides,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Nolana gayana,TRUE,FALSE
Equisetopsida,Solanales,Solanaceae,Nolana humifusa,TRUE,FALSE
Aves,Accipitriformes,Accipitridae,Parabuteo unicinctus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Avena sterilis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Bromus striatus,TRUE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Haageocereus limensis,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Cyperus hermaphroditus,FALSE,FALSE
Equisetopsida,Dioscoreales,Dioscoreaceae,Dioscorea chancayensis,FALSE,FALSE
Aves,Passeriformes,Mimidae,Mimus longicaudatus,FALSE,FALSE
Aves,Passeriformes,Passeridae,Passer domesticus,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Sisymbrium officinale,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Leptasthenura pileata,TRUE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Drymaria paposana var. weberbaueri,TRUE,FALSE
Equisetopsida,Poales,Bromeliaceae,Puya ferruginea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Leptasthenura striata,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Senecio vulgaris,FALSE,FALSE
Mammalia,Carnivora,Canidae,Lycalopex (Pseudalopex) culpaeus,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Cuscuta odorata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Cotula australis,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Salvia rhombifolia,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia albiceps,FALSE,FALSE
Equisetopsida,Cornales,Loasaceae,Nasa urens,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Melochia lupulina,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Erodium cicutarium,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila telasco,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris pusilla,FALSE,FALSE
