Clase,Orden,Familia,Especie
Aves,Procellariiformes,Diomedeidae,"Thalassarche melanophris"
Aves,Procellariiformes,Diomedeidae,"Thalassarche salvini"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Procellariiformes,Diomedeidae,"Thalassarche chrysostoma"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Equisetopsida,Asparagales,Orchidaceae,"Chloraea pavonii"
Aves,Anseriformes,Anatidae,"Netta erythrophthalma"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Reptilia,Sauria,Liolaemidae,"Ctenoblepharys adspersa"
Equisetopsida,Fabales,Fabaceae,"Geoffroea decorticans"
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus angustidigitus"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Procellariiformes,Procellariidae,"Pterodroma phaeopygia"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Reptilia,Testudines,Dermochelyidae,"Dermochelys coriacea"
Aves,Procellariiformes,Procellariidae,"Procellaria parkinsoni"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Equisetopsida,Asterales,Asteraceae,"Ambrosia dentata"
Reptilia,Testudines,Cheloniidae,"Eretmochelys imbricata"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Mammalia,Chiroptera,Phyllostomidae,"Platalina genovensium"
,,,
