Clase,Orden,Familia,Especie
Aves,Procellariiformes,Diomedeidae,"Thalassarche melanophris"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia vestita"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia landbeckii"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Elasmobranchii,Torpediniformes,Torpedinidae,"Tetronarce tremens"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Equisetopsida,Caryophyllales,Amaranthaceae,"Suaeda foliosa"
Aves,Charadriiformes,Laridae,"Thalasseus sandvicensis"
Elasmobranchii,Scorpaenoidei,Triakidae,"Triakis maculata"
Mammalia,Cetartiodactyla,Ziphiidae,"Ziphius cavirostris"
Aves,Charadriiformes,Scolopacidae,"Tringa incana"
Aves,Procellariiformes,Diomedeidae,"Thalassarche bulleri"
Aves,Procellariiformes,Diomedeidae,"Thalassarche salvini"
Aves,Passeriformes,Tyrannidae,"Tachuris rubrigastra"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Aves,Charadriiformes,Laridae,"Thalasseus maximus"
Aves,Passeriformes,Tyrannidae,"Tyrannus tyrannus"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Procellariiformes,Diomedeidae,"Thalassarche chrysostoma"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Charadriiformes,Laridae,"Thalasseus elegans"
Aves,Charadriiformes,Scolopacidae,"Tringa semipalmata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia paleacea"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Aves,Charadriiformes,Thinocoridae,"Thinocorus rumicivorus"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia macrocarpa"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Aves,Charadriiformes,Laridae,"Sternula superciliaris"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia crystallina"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia recurvata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia latifolia"
Aves,Charadriiformes,Laridae,"Sternula antillarum"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Equisetopsida,Caryophyllales,Aizoaceae,"Tetragonia microcarpa"
Aves,Charadriiformes,Laridae,"Xema sabini"
Equisetopsida,Poales,Poaceae,"Stipa pachypus"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Suliformes,Sulidae,"Sula dactylatra"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Mammalia,Didelphimorphia,Didelphidae,"Thylamys (Thylamys) pallidior"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Elasmobranchii,Carcharhiniformes,Carcharhinidae,"Prionace glauca"
