Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Procellariiformes,Diomedeidae,Thalassarche melanophris,FALSE,TRUE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia vestita,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia landbeckii,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Elasmobranchii,Torpediniformes,Torpedinidae,Tetronarce tremens,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Suaeda foliosa,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus sandvicensis,FALSE,FALSE
Elasmobranchii,Scorpaenoidei,Triakidae,Triakis maculata,FALSE,FALSE
Mammalia,Cetartiodactyla,Ziphiidae,Ziphius cavirostris,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa incana,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Thalassarche bulleri,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Thalassarche salvini,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Tachuris rubrigastra,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus maximus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus tyrannus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula lorata,FALSE,TRUE
Aves,Suliformes,Sulidae,Sula variegata,FALSE,TRUE
Aves,Procellariiformes,Diomedeidae,Thalassarche chrysostoma,FALSE,TRUE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Xenospingus concolor,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Charadriiformes,Laridae,Thalasseus elegans,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa semipalmata,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia paleacea,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula nebouxii,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus rumicivorus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia macrocarpa,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Tursiops truncatus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula superciliaris,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia crystallina,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia recurvata,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia latifolia,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula antillarum,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia microcarpa,FALSE,FALSE
Aves,Charadriiformes,Laridae,Xema sabini,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Stipa pachypus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Suliformes,Sulidae,Sula dactylatra,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Thylamys (Thylamys) pallidior,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace glauca,FALSE,FALSE
Elasmobranchii,Scorpaenoidei,Triakidae,Galeorhinus galeus,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra felina,FALSE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Chloraea pavonii,TRUE,TRUE
Aves,Anseriformes,Anatidae,Netta erythrophthalma,FALSE,TRUE
Aves,Strigiformes,Strigidae,Glaucidium brasilianum,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sterna hirundo,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle americana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila simplex,FALSE,FALSE
Reptilia,Sauria,Tropiduridae,Microlophus peruvianus,FALSE,FALSE
Aves,Charadriiformes,Haematopodidae,Haematopus ater,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Ardenna grisea,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia albiceps,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Parietaria debilis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiophobus fasciatus,FALSE,FALSE
Aves,Sphenisciformes,Spheniscidae,Spheniscus humboldti,FALSE,TRUE
Mammalia,Cetartiodactyla,Delphinidae,Grampus griseus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Chlidonias niger,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Rhodopis vesper,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes taczanowskii,TRUE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius wilsonia,FALSE,FALSE
Aves,Procellariiformes,Hydrobatidae,Hydrobates markhami,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Calidris fuscicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Asemospiza obscura,FALSE,FALSE
Aves,Charadriiformes,Stercorariidae,Stercorarius parasiticus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Rostraria trachyantha,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Fulmarus glacialoides,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Cressa truxillensis,FALSE,FALSE
Reptilia,Sauria,Liolaemidae,Ctenoblepharys adspersa,TRUE,TRUE
Equisetopsida,Asterales,Asteraceae,Polyachyrus annuus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Aves,Charadriiformes,Stercorariidae,Stercorarius maccormicki,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Polyachyrus fuscus,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Stenella attenuata,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Eriosyce islayensis,TRUE,FALSE
Equisetopsida,Fabales,Fabaceae,Geoffroea decorticans,FALSE,TRUE
Aves,Procellariiformes,Procellariidae,Procellaria aequinoctialis,FALSE,TRUE
Aves,Charadriiformes,Stercorariidae,Stercorarius longicaudus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Petrochelidon pyrrhonota,FALSE,FALSE
Aves,Procellariiformes,Oceanitidae,Pelagodroma marina,FALSE,FALSE
Aves,Charadriiformes,Stercorariidae,Stercorarius chilensis,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Stenella coeruleoalba,FALSE,FALSE
Aves,Suliformes,Fregatidae,Fregata magnificens,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta peruviana,TRUE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola maclovianus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila peruviana,FALSE,FALSE
Mammalia,Cetartiodactyla,Phocoenidae,Phocoena spinipinnis,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica ardesiaca,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta maritima,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Sporobolus indicus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Procellaria cinerea,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis brevis,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Nicotiana paniculata,TRUE,FALSE
Mammalia,Carnivora,Otariidae,Arctocephalus philippii,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porphyrio martinica,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Phalaropus fulicarius,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator striatipectus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera bonaerensis,FALSE,FALSE
Equisetopsida,Malpighiales,Linaceae,Linum prostratum,FALSE,FALSE
Aves,Procellariiformes,Diomedeidae,Phoebastria irrorata,FALSE,TRUE
Aves,Procellariiformes,Oceanitidae,Oceanites oceanicus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera borealis,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera edeni,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris ferruginea,FALSE,FALSE
Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon peruvianus,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax gaimardi,FALSE,TRUE
Aves,Podicipediformes,Podicipedidae,Rollandia rolland,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura pelagica,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Sonchus oleraceus,FALSE,FALSE
Aves,Charadriiformes,Stercorariidae,Stercorarius pomarinus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius vociferus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Ardenna creatopus,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Calidris canutus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula cyanoptera,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sterna paradisaea,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Pseudalsophis elegans,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Aves,Procellariiformes,Procellariidae,Macronectes giganteus,FALSE,FALSE
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera musculus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sterna hirundinacea,FALSE,TRUE
Elasmobranchii,Torpediniformes,Narcinidae,Discopyge tschudii,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Riparia riparia,FALSE,FALSE
Aves,Charadriiformes,Laridae,Gelochelidon nilotica,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Globicephala macrorhynchus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas bahamensis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris pugnax,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Sarcocornia fruticosa,FALSE,FALSE
Aves,Procellariiformes,Oceanitidae,Fregetta tropica,FALSE,FALSE
Reptilia,Sauria,Phyllodactylidae,Phyllodactylus angustidigitus,TRUE,TRUE
Equisetopsida,Apiales,Apiaceae,Cyclospermum laciniatum,FALSE,FALSE
Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus callorynchus,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis xerophyton,FALSE,FALSE
Mammalia,Cetartiodactyla,Delphinidae,Orcinus orca,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis megalorrhiza,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Geranium limae,FALSE,FALSE
Aves,Passeriformes,Parulidae,Setophaga ruticilla,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Neltuma pallida,FALSE,TRUE
Aves,Passeriformes,Fringillidae,Spinus magellanicus,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax bougainvillii,FALSE,FALSE
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Schroederichthys chilensis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris alba,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris alpina,FALSE,FALSE
Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon grayi,FALSE,FALSE
Equisetopsida,Apiales,Apiaceae,Domeykoa saniculifolia,TRUE,FALSE
Reptilia,Sauria,Phyllodactylidae,Phyllodactylus gerrhopygus,FALSE,FALSE
