Clase,Orden,Familia,Especie
Equisetopsida,Poales,Poaceae,"Nassella mucronata"
Equisetopsida,Poales,Poaceae,"Nassella nardoides"
Equisetopsida,Apiales,Apiaceae,"Bowlesia lobata"
Equisetopsida,Ericales,Primulaceae,"Lysimachia arvensis"
Equisetopsida,Asterales,Campanulaceae,"Lysipomia laciniata"
Aves,Passeriformes,Thraupidae,"Sicalis lutea"
Equisetopsida,Poales,Poaceae,"Nassella pubiflora"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis petrophila"
Equisetopsida,Asterales,Asteraceae,"Conyza bonariensis"
Equisetopsida,Asterales,Asteraceae,"Pseudognaphalium lacteum"
Equisetopsida,Poales,Poaceae,"Nassella smithii"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Equisetopsida,Poales,Poaceae,"Festuca andicola"
Equisetopsida,Solanales,Solanaceae,"Brugmansia arborea"
Equisetopsida,Asterales,Asteraceae,"Pseudognaphalium gaudichaudianum"
Equisetopsida,Poales,Poaceae,"Festuca dolichophylla"
Equisetopsida,Poales,Poaceae,"Hordeum vulgare"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Equisetopsida,Fabales,Fabaceae,"Adesmia melanthes"
Equisetopsida,Poales,Poaceae,"Festuca humilior"
Equisetopsida,Asterales,Asteraceae,"Facelis plumosa"
Equisetopsida,Poales,Poaceae,"Festuca meyenii"
Equisetopsida,Solanales,Solanaceae,"Fabiana densa"
Aves,Anseriformes,Anatidae,"Merganetta armata"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Stellaria cuspidata"
Equisetopsida,Poales,Poaceae,"Festuca nigriflora"
Equisetopsida,Poales,Poaceae,"Festuca orthophylla"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Equisetopsida,Asterales,Asteraceae,"Ambrosia arborescens"
Equisetopsida,Poales,Poaceae,"Festuca rigescens"
Equisetopsida,Asterales,Asteraceae,"Pseudognaphalium elegans"
Mammalia,Chiroptera,Phyllostomidae,"Platalina genovensium"
Equisetopsida,Fabales,Fabaceae,"Medicago lupulina"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Mammalia,Rodentia,Cricetidae,"Phyllotis limatus"
Mammalia,Rodentia,Cricetidae,"Necromys amoenus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Equisetopsida,Fabales,Fabaceae,"Medicago polymorpha"
Equisetopsida,Brassicales,Brassicaceae,"Aschersoniodoxa pilosa"
Aves,Strigiformes,Strigidae,"Asio flammeus"
Equisetopsida,Asterales,Asteraceae,"Leucheria daucifolia"
Equisetopsida,Apiales,Apiaceae,"Bowlesia tenella"
Equisetopsida,Asterales,Asteraceae,"Laennecia artemisiifolia"
Equisetopsida,Brassicales,Brassicaceae,"Brassica rapa"
Equisetopsida,Solanales,Solanaceae,"Solanum weberbaueri"
Equisetopsida,Poales,Poaceae,"Hordeum muticum"
Aves,Piciformes,Picidae,"Dryobates passerinus"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
