Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Poales,Poaceae,Nassella mucronata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella nardoides,FALSE,FALSE
Equisetopsida,Apiales,Apiaceae,Bowlesia lobata,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Lysimachia arvensis,FALSE,FALSE
Equisetopsida,Asterales,Campanulaceae,Lysipomia laciniata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis lutea,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella pubiflora,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis petrophila,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Conyza bonariensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Pseudognaphalium lacteum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella smithii,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas maculosa,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca andicola,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Brugmansia arborea,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Pseudognaphalium gaudichaudianum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca dolichophylla,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Hordeum vulgare,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia ceciliae,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia melanoptera,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Adesmia melanthes,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca humilior,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Facelis plumosa,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca meyenii,TRUE,FALSE
Equisetopsida,Solanales,Solanaceae,Fabiana densa,FALSE,FALSE
Aves,Anseriformes,Anatidae,Merganetta armata,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Stellaria cuspidata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca nigriflora,TRUE,FALSE
Equisetopsida,Poales,Poaceae,Festuca orthophylla,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Phalaropus tricolor,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Ambrosia arborescens,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca rigescens,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Pseudognaphalium elegans,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Platalina genovensium,FALSE,TRUE
Equisetopsida,Fabales,Fabaceae,Medicago lupulina,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psilopsiagon aurifrons,FALSE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Lama guanicoe,FALSE,TRUE
Mammalia,Rodentia,Cricetidae,Phyllotis limatus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Necromys amoenus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Medicago polymorpha,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Aschersoniodoxa pilosa,TRUE,FALSE
Aves,Strigiformes,Strigidae,Asio flammeus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Leucheria daucifolia,FALSE,FALSE
Equisetopsida,Apiales,Apiaceae,Bowlesia tenella,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Laennecia artemisiifolia,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Brassica rapa,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum weberbaueri,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Hordeum muticum,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates passerinus,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Corryocactus brevistylus,FALSE,TRUE
Equisetopsida,Caryophyllales,Caryophyllaceae,Drymaria divaricata var. stricta,TRUE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Corryocactus prostratus,TRUE,FALSE
Equisetopsida,Fabales,Fabaceae,Dalea pennellii var. pennellii,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Medicago sativa,FALSE,FALSE
Equisetopsida,Ephedrales,Ephedraceae,Ephedra rupestris,FALSE,TRUE
Mammalia,Rodentia,Cricetidae,Chinchillula sahamae,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Philibertia solanoides,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Chersodoma juanisernii,TRUE,FALSE
Equisetopsida,Ephedrales,Ephedraceae,Ephedra americana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Chersodoma jodopappa,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodium quinoa,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Lachemilla pinnata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Sonchus oleraceus,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodium petiolare,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Airampoa ayrampo,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodium pallidicaule,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Lepechinia meyenii,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Lachemilla diplophylla,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodium ambrosioides var. ambrosioides,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodium album,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum murale,FALSE,FALSE
Equisetopsida,Polypodiales,Aspleniaceae,Asplenium triphyllum,FALSE,FALSE
Equisetopsida,Zygophyllales,Krameriaceae,Krameria lappacea,FALSE,TRUE
Aves,Strigiformes,Strigidae,Bubo virginianus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Pseudognaphalium dombeyanum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes dorbignyi,FALSE,FALSE
