Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Synallaxis tithys"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma occidentalis"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus griseipectus"
Equisetopsida,Sapindales,Burseraceae,"Bursera graveolens"
Aves,Columbiformes,Columbidae,"Leptotila ochraceiventris"
Aves,Accipitriformes,Accipitridae,"Pseudastur occidentalis"
Aves,Passeriformes,Tityridae,"Pachyramphus spodiurus"
Aves,Galliformes,Cracidae,"Ortalis erythroptera"
Aves,Passeriformes,Furnariidae,"Clibanornis erythrocephalus"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Mammalia,Primates,Atelidae,"Alouatta palliata"
Equisetopsida,Malvales,Bixaceae,"Cochlospermum vitifolium"
Aves,Passeriformes,Thamnophilidae,"Ampelornis griseiceps"
Aves,Psittaciformes,Psittacidae,"Brotogeris pyrrhoptera"
Aves,Passeriformes,Tyrannidae,"Attila torridus"
Equisetopsida,Sapindales,Anacardiaceae,"Loxopterygium huasango"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Exulomarmosa) simonsi"
Mammalia,Chiroptera,Phyllostomidae,"Platyrrhinus matapalensis"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Chiroptera,Vespertilionidae,"Rhogeessa velilla"
,,,
