Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Equisetopsida,Alismatales,Potamogetonaceae,"Zannichellia palustris"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Aves,Tinamiformes,Tinamidae,"Tinamotis pentlandii"
Aves,Charadriiformes,Scolopacidae,"Tringa incana"
Aves,Passeriformes,Tyrannidae,"Tachuris rubrigastra"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Equisetopsida,Alismatales,Potamogetonaceae,"Stuckenia filiformis"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Aves,Charadriiformes,Thinocoridae,"Thinocorus rumicivorus"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Turdidae,"Turdus serranus"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Podicipediformes,Podicipedidae,"Tachybaptus dominicus"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Charadriiformes,Scolopacidae,"Calidris fuscicollis"
Aves,Charadriiformes,Recurvirostridae,"Himantopus mexicanus"
Aves,Charadriiformes,Scolopacidae,"Calidris minutilla"
Aves,Passeriformes,Tyrannidae,"Lessonia oreas"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Aves,Gruiformes,Rallidae,"Fulica gigantea"
Aves,Passeriformes,Furnariidae,"Geositta tenuirostris"
Equisetopsida,Saxifragales,Haloragaceae,"Myriophyllum quitense"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Passeriformes,Fringillidae,"Spinus crassirostris"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Aves,Passeriformes,Furnariidae,"Leptasthenura andicola"
Equisetopsida,Salviniales,Salviniaceae,"Azolla filiculoides"
Aves,Passeriformes,Furnariidae,"Asthenes modesta"
Aves,Passeriformes,Thraupidae,"Diglossa brunneiventris"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Equisetopsida,Solanales,Solanaceae,"Solanum nitidum"
Aves,Passeriformes,Thraupidae,"Geospizopsis plebejus"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Columbiformes,Columbidae,"Metriopelia aymara"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Mammalia,Rodentia,Cricetidae,"Galenomys garleppii"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola rufivertex"
Aves,Charadriiformes,Scolopacidae,"Calidris himantopus"
Equisetopsida,Alismatales,Ruppiaceae,"Ruppia filifolia"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Aves,Passeriformes,Tyrannidae,"Agriornis micropterus"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola albilora"
Aves,Anseriformes,Anatidae,"Merganetta armata"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola alpinus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Aves,Passeriformes,Thraupidae,"Idiopsar speculiger"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Passeriformes,Icteridae,"Agelasticus thilius"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola albifrons"
Aves,Charadriiformes,Recurvirostridae,"Recurvirostra andina"
Aves,Passeriformes,Thraupidae,"Phrygilus atriceps"
Aves,Charadriiformes,Scolopacidae,"Calidris mauri"
Equisetopsida,Alismatales,Araceae,"Lemna gibba"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola capistratus"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola cinereus"
Aves,Charadriiformes,Charadriidae,"Phegornis mitchellii"
Aves,Apodiformes,Trochilidae,"Chalcostigma stanleyi"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola flavinucha"
Aves,Charadriiformes,Charadriidae,"Pluvialis squatarola"
Aves,Passeriformes,Thraupidae,"Sicalis lutea"
Aves,Podicipediformes,Podicipedidae,"Podilymbus podiceps"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Podicipediformes,Podicipedidae,"Podiceps occipitalis"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Aves,Passeriformes,Fringillidae,"Spinus uropygialis"
Aves,Charadriiformes,Charadriidae,"Charadrius alticola"
Aves,Tinamiformes,Tinamidae,"Nothura darwinii"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Anseriformes,Anatidae,"Spatula platalea"
Aves,Charadriiformes,Charadriidae,"Oreopholus ruficollis"
Aves,Anseriformes,Anatidae,"Spatula discors"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola frontalis"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Aves,Anseriformes,Anatidae,"Cairina moschata"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Aves,Passeriformes,Motacillidae,"Anthus bogotensis"
Mammalia,Rodentia,Cricetidae,"Phyllotis xanthopygus"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Aves,Columbiformes,Columbidae,"Columbina talpacoti"
Aves,Passeriformes,Motacillidae,"Anthus furcatus"
Aves,Charadriiformes,Scolopacidae,"Calidris melanotos"
Mammalia,Rodentia,Cricetidae,"Auliscomys pictus"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Anseriformes,Anatidae,"Oxyura jamaicensis"
Mammalia,Rodentia,Ctenomyidae,"Ctenomys leucodon"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
