Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Equisetopsida,Alismatales,Potamogetonaceae,Zannichellia palustris,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamotis pentlandii,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa incana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tachuris rubrigastra,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus orbignyianus,FALSE,FALSE
Equisetopsida,Alismatales,Potamogetonaceae,Stuckenia filiformis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus rumicivorus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus serranus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Tachybaptus dominicus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris fuscicollis,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris minutilla,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lessonia oreas,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon murina,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica gigantea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta tenuirostris,FALSE,FALSE
Equisetopsida,Saxifragales,Haloragaceae,Myriophyllum quitense,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas maculosa,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus crassirostris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis montanus,FALSE,FALSE
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus jamesi,FALSE,TRUE
Aves,Psittaciformes,Psittacidae,Psilopsiagon aurifrons,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rupicola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis luteola,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Circus cinereus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Leptasthenura andicola,FALSE,FALSE
Equisetopsida,Salviniales,Salviniaceae,Azolla filiculoides,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes modesta,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Diglossa brunneiventris,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum nitidum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Geospizopsis plebejus,FALSE,FALSE
Mammalia,Carnivora,Canidae,Lycalopex (Pseudalopex) culpaeus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia aymara,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia inornata,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Phalaropus tricolor,FALSE,FALSE
Aves,Gruiformes,Rallidae,Gallinula galeata,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Galenomys garleppii,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Muscisaxicola rufivertex,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris himantopus,FALSE,FALSE
Equisetopsida,Alismatales,Ruppiaceae,Ruppia filifolia,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Pygochelidon cyanoleuca,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Geospizopsis unicolor,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis uropygialis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis micropterus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco femoralis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola albilora,FALSE,FALSE
Aves,Anseriformes,Anatidae,Merganetta armata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola alpinus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis albicauda,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Idiopsar speculiger,FALSE,FALSE
Aves,Charadriiformes,Rhynchopidae,Rynchops niger,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes atacamensis,FALSE,FALSE
Aves,Falconiformes,Falconidae,Phalcoboenus megalopterus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Passeriformes,Icteridae,Agelasticus thilius,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola albifrons,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Recurvirostra andina,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Phrygilus atriceps,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris mauri,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Lemna gibba,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola capistratus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rauenia bonariensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola cinereus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Phegornis mitchellii,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chalcostigma stanleyi,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia ceciliae,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola flavinucha,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Pluvialis squatarola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis lutea,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Podilymbus podiceps,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea alba,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Podiceps occipitalis,FALSE,FALSE
Aves,Suliformes,Phalacrocoracidae,Phalacrocorax brasilianus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula puna,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus melanoleucus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus uropygialis,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius alticola,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothura darwinii,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula platalea,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Oreopholus ruficollis,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula discors,FALSE,FALSE
Aves,Strigiformes,Strigidae,Athene cunicularia,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia melanoptera,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis olivascens,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola frontalis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Hirundo rustica,FALSE,FALSE
Aves,Anseriformes,Anatidae,Cairina moschata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rhopospina alaudina,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus bogotensis,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Phyllotis xanthopygus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Oressochen melanopterus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina talpacoti,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus furcatus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris melanotos,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Auliscomys pictus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,FALSE,FALSE
Aves,Anseriformes,Anatidae,Oxyura jamaicensis,FALSE,FALSE
Mammalia,Rodentia,Ctenomyidae,Ctenomys leucodon,FALSE,TRUE
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia analis,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Pluvialis dominica,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris bairdii,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Calomys lepidus,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chalcostigma olivaceum,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Schoenoplectus californicus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula cyanoptera,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola griseus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Punomys lemminus,TRUE,TRUE
Aves,Passeriformes,Hirundinidae,Riparia riparia,FALSE,FALSE
Equisetopsida,Alismatales,Hydrocharitaceae,Elodea potamogeton,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon andecola,FALSE,FALSE
Aves,Gruiformes,Rallidae,Pardirallus sanguinolentus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Cnemarchus rufipennis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Phrygilus punensis,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Abrothrix andina,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus estella,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus melanogaster,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum cinereum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris alba,FALSE,FALSE
Aves,Apodiformes,Apodidae,Aeronautes andecolus,FALSE,FALSE
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus chilensis,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Rollandia microptera,FALSE,TRUE
Aves,Pelecaniformes,Ardeidae,Egretta caerulea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes humilis,FALSE,FALSE
Aves,Passeriformes,Motacillidae,Anthus correndera,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Gallinago andina,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Rollandia rolland,FALSE,FALSE
Aves,Charadriiformes,Laridae,Chroicocephalus serranus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta cunicularia,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus atratus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica ardesiaca,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius semipalmatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola juninensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Phleocryptes melanops,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Asthenes sclateri,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas georgica,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Patagona gigas,FALSE,FALSE
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus andinus,FALSE,TRUE
Aves,Pelecaniformes,Threskiornithidae,Plegadis ridgwayi,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Attagis gayi,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes albiventris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola maclovianus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Bubo virginianus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus magellanicus,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura pelagica,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta ornata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola maculirostris,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rhipospina fruticeti,FALSE,FALSE
Aves,Anseriformes,Anatidae,Lophonetta specularioides,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Coereba flaveola,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porphyrio martinica,FALSE,FALSE
