Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana variabilis"
Equisetopsida,Asterales,Asteraceae,"Stevia macbridei"
Equisetopsida,Asparagales,Amaryllidaceae,"Trichlora peruviana"
Equisetopsida,Caryophyllales,Cactaceae,"Trichocereus macrogonus"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana coarctata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana cumbemayensis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana globularis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana henrici"
Equisetopsida,Asterales,Asteraceae,"Taraxacum officinale"
Equisetopsida,Asterales,Asteraceae,"Taraxacum fernandezianum"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana interrupta"
Equisetopsida,Polypodiales,Woodsiaceae,"Woodsia montevidensis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana micropterina"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nigricans"
Equisetopsida,Rosales,Urticaceae,"Urtica magellanica"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana nivalis"
Equisetopsida,Rosales,Urticaceae,"Urtica leptophylla"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana radicata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana renifolia"
Equisetopsida,Rosales,Urticaceae,"Urtica flabellata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana warburgii"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum ciliolatum"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum dactylophyllum"
Equisetopsida,Rosales,Urticaceae,"Urtica echinata"
Equisetopsida,Asterales,Asteraceae,"Tarasa urbaniana"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus branickii"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum decorum"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum marcidum"
Equisetopsida,Asparagales,Asparagaceae,"Trihesperus glaucus"
Aves,Passeriformes,Thraupidae,"Thlypopsis ornata"
Equisetopsida,Malvales,Malvaceae,"Urocarpidium peruvianum"
Equisetopsida,Asterales,Asteraceae,"Werneria villosa"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Equisetopsida,Asterales,Asteraceae,"Tagetes minuta"
Aves,Passeriformes,Thraupidae,"Thlypopsis superciliaris"
Equisetopsida,Asterales,Asteraceae,"Werneria pygmaea"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana asplenifolia"
Equisetopsida,Asterales,Asteraceae,"Werneria pumila"
Equisetopsida,Asterales,Asteraceae,"Werneria pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Werneria pectinata"
Equisetopsida,Asterales,Asteraceae,"Werneria orbignyana"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia capillaris"
Equisetopsida,Asterales,Asteraceae,"Werneria nubigena"
Equisetopsida,Asterales,Asteraceae,"Werneria caespitosa"
Equisetopsida,Caryophyllales,Basellaceae,"Ullucus tuberosus"
Equisetopsida,Asterales,Asteraceae,"Werneria apiculata"
Equisetopsida,Poales,Cyperaceae,"Zameioscirpus muticus"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia paleacea"
Equisetopsida,Poales,Cyperaceae,"Uncinia macrolepis"
Equisetopsida,Fabales,Fabaceae,"Trifolium amabile"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Lamiales,Verbenaceae,"Verbena hispida"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Lamiales,Verbenaceae,"Verbena litoralis"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia pinnata"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica arvensis"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica persica"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera trichocarpa"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera spathulifolia"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera peruviana"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Equisetopsida,Poales,Poaceae,"Trisetum spicatum"
Equisetopsida,Santalales,Loranthaceae,"Tristerix chodatianus"
Equisetopsida,Asterales,Asteraceae,"Tagetes multiflora"
Equisetopsida,Fabales,Fabaceae,"Vicia andicola"
Equisetopsida,Alismatales,Potamogetonaceae,"Stuckenia pectinata"
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Equisetopsida,Santalales,Loranthaceae,"Tristerix longebracteatus"
Equisetopsida,Saxifragales,Crassulaceae,"Villadia dielsii"
Equisetopsida,Saxifragales,Crassulaceae,"Villadia reniformis"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum minus"
Equisetopsida,Asterales,Campanulaceae,"Wahlenbergia peruviana"
Equisetopsida,Malpighiales,Violaceae,"Viola kermesina"
Equisetopsida,Malpighiales,Violaceae,"Viola membranacea"
Equisetopsida,Malpighiales,Violaceae,"Viola micranthella"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Pertusariales,Icmadophilaceae,"Thamnolia vermicularis"
Equisetopsida,Poales,Cyperaceae,"Trichophorum rigidum"
Equisetopsida,Poales,Poaceae,"Vulpia myuros var. hirsuta"
Equisetopsida,Poales,Poaceae,"Vulpia myuros"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Ranunculales,Ranunculaceae,"Thalictrum peruvianum"
Equisetopsida,Ranunculales,Ranunculaceae,"Thalictrum decipiens"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia usneoides"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Passeriformes,Tyrannidae,"Tachuris rubrigastra"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Tinamiformes,Tinamidae,"Tinamotis pentlandii"
Aves,Passeriformes,Thraupidae,"Xenodacnis parina"
Equisetopsida,Rosales,Rosaceae,"Tetraglochin cristata"
Aves,Charadriiformes,Scolopacidae,"Calidris bairdii"
Mammalia,Rodentia,Cricetidae,"Phyllotis andium"
Equisetopsida,Ranunculales,Ranunculaceae,"Clematis seemannii"
Equisetopsida,Ranunculales,Ranunculaceae,"Clematis peruviana"
Equisetopsida,Asterales,Asteraceae,"Ageratina sternbergiana"
Equisetopsida,Caryophyllales,Amaranthaceae,"Dysphania ambrosioides"
Equisetopsida,Fabales,Fabaceae,"Lathyrus magellanicus"
Equisetopsida,Myrtales,Onagraceae,"Epilobium fragile"
Equisetopsida,Piperales,Piperaceae,"Peperomia verruculosa"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Equisetopsida,Rosales,Rosaceae,"Lachemilla barbata"
Equisetopsida,Asparagales,Iridaceae,"Sisyrinchium chilense"
Equisetopsida,Gentianales,Gentianaceae,"Halenia caespitosa"
Equisetopsida,Ericales,Polemoniaceae,"Cantua buxifolia"
Equisetopsida,Asparagales,Iridaceae,"Olsynium junceum"
Equisetopsida,Poales,Poaceae,"Poa serpaiana"
Equisetopsida,Caryophyllales,Montiaceae,"Calandrinia acaulis"
Equisetopsida,Asparagales,Iridaceae,"Olsynium trinerve"
Equisetopsida,Asterales,Asteraceae,"Hieracium leptocephalium"
Equisetopsida,Brassicales,Brassicaceae,"Brayopsis calycina"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Equisetopsida,Brassicales,Capparaceae,"Andinocleome chilensis"
Equisetopsida,Poales,Poaceae,"Poa spicigera"
Equisetopsida,Caryophyllales,Polygonaceae,"Muehlenbeckia volcanica"
Equisetopsida,Asparagales,Orchidaceae,"Aa paleacea"
Equisetopsida,Fabales,Fabaceae,"Astragalus pickeringii"
Equisetopsida,Asterales,Asteraceae,"Rhysolepis lanceolata"
Equisetopsida,Polypodiales,Polypodiaceae,"Melpomene moniliformis"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Pycnophyllum molle"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Equisetopsida,Poales,Poaceae,"Nassella inconspicua"
Equisetopsida,Fabales,Fabaceae,"Astragalus uniflorus"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Equisetopsida,Poales,Cyperaceae,"Carex bonplandii"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum densifolium"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Pycnophyllum mattfeldii"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Pycnophyllum glomeratum"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum amphostenon"
Equisetopsida,Poales,Poaceae,"Calandrinia ciliata"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum poiretii"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Equisetopsida,Asterales,Asteraceae,"Misbrookea strigosissima"
Equisetopsida,Poales,Poaceae,"Muhlenbergia peruviana"
