Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Equisetopsida,Apiales,Apiaceae,Conium maculatum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum cinereum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum binghami,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Achyrocline ramosissima,FALSE,FALSE
Equisetopsida,Ericales,Polemoniaceae,Cantua buxifolia,FALSE,FALSE
Mammalia,Carnivora,Mephitidae,Conepatus chinga,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera caracasana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Spartium junceum,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Capsella bursa-pastoris,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera arequipensis,TRUE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Commelina tuberosa,FALSE,FALSE
Equisetopsida,Ericales,Polemoniaceae,Microsteris gracilis,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Recurvirostra andina,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Cardionema ramosissimum,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Equisetopsida,Brassicales,Caricaceae,Carica augusti,TRUE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Lepechinia meyenii,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus repens,FALSE,FALSE
Equisetopsida,Rosales,Rhamnaceae,Colletia spinosissima,FALSE,FALSE
Aves,Anseriformes,Anatidae,Lophonetta specularioides,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Stellaria ovata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Lepidium bipinnatifidum,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis atacamensis,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rupicola,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Aloysia spathulata,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Aloysia citrodora,FALSE,FALSE
Equisetopsida,Lamiales,Orobanchaceae,Castilleja arvensis,FALSE,FALSE
Equisetopsida,Lamiales,Orobanchaceae,Castilleja laciniata,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra felina,FALSE,TRUE
Aves,Piciformes,Picidae,Colaptes atricollis,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia analis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia inornata,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Lepidium chichicara,FALSE,FALSE
Equisetopsida,Santalales,Schoepfiaceae,Quinchamalium chilense,FALSE,FALSE
