Clase,Orden,Familia,Especie
Equisetopsida,Malvales,Malvaceae,"Waltheria ovata"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Equisetopsida,Gentianales,Apocynaceae,"Vallesia glabra"
Equisetopsida,Fabales,Fabaceae,"Vachellia macracantha"
Equisetopsida,Lamiales,Ehretiaceae,"Tiquilia dichotoma"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Aves,Passeriformes,Furnariidae,"Synallaxis stictothorax"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Passeriformes,Hirundinidae,"Tachycineta stolzmanni"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Tyrannidae,"Tumbezia salvini"
Aves,Cuculiformes,Cuculidae,"Tapera naevia"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Aves,Passeriformes,Tyrannidae,"Tyrannus niveigularis"
Equisetopsida,Lamiales,Ehretiaceae,"Tiquilia paronychioides"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus bernardi"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Luffa operculata"
Equisetopsida,Poales,Poaceae,"Setaria verticillata"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea asarifolia"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Aves,Passeriformes,Tyrannidae,"Myiarchus semirufus"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Equisetopsida,Boraginales,Boraginaceae,"Euploca ferreyrae"
Equisetopsida,Brassicales,Capparaceae,"Capparis angulata"
Aves,Passeriformes,Hirundinidae,"Progne chalybea"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea purpurea"
Aves,Psittaciformes,Psittacidae,"Forpus coelestis"
Equisetopsida,Caryophyllales,Amaranthaceae,"Amaranthus spinosus"
Equisetopsida,Solanales,Solanaceae,"Lycium boerhaviifolium"
Aves,Passeriformes,Melanopareiidae,"Melanopareia elegans"
Equisetopsida,Fabales,Fabaceae,"Erythrina edulis"
Aves,Passeriformes,Cardinalidae,"Pheucticus chrysogaster"
Equisetopsida,Malpighiales,Passifloraceae,"Ipomoea carnea"
Equisetopsida,Lamiales,Verbenaceae,"Phyla nodiflora"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Equisetopsida,Caryophyllales,Amaranthaceae,"Amaranthus viridis"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Equisetopsida,Brassicales,Capparaceae,"Beautempsia avicenniifolia"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea carnea"
Aves,Passeriformes,Tyrannidae,"Muscigralla brevicauda"
Equisetopsida,Lamiales,Plantaginaceae,"Galvezia fruticosa"
Equisetopsida,Rosales,Rhamnaceae,"Scutia spicata var. spicata"
Aves,Passeriformes,Polioptilidae,"Polioptila plumbea"
Aves,Passeriformes,Tyrannidae,"Myiodynastes maculatus"
Aves,Passeriformes,Tyrannidae,"Pseudelaenia leucospodia"
Aves,Coraciiformes,Alcedinidae,"Megaceryle torquata"
Equisetopsida,Fabales,Fabaceae,"Prosopis limensis"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea alba"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Aves,Passeriformes,Parulidae,"Geothlypis aequinoctialis"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera halimifolia"
Aves,Passeriformes,Parulidae,"Setophaga pitiayumi"
Equisetopsida,Fabales,Fabaceae,"Parkinsonia praecox"
Aves,Pelecaniformes,Ardeidae,"Ardea cocoi"
Aves,Columbiformes,Columbidae,"Leptotila verreauxi"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Cryptocarpus pyriformis"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Aves,Passeriformes,Thraupidae,"Coereba flaveola"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Aves,Passeriformes,Hirundinidae,"Riparia riparia"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Mammalia,Carnivora,Mephitidae,"Conepatus semistriatus"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus pseudoversicolor"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Equisetopsida,Brassicales,Capparaceae,"Colicodendron scabridum"
Mammalia,Chiroptera,Phyllostomidae,"Desmodus rotundus"
Aves,Passeriformes,Tyrannidae,"Euscarthmus fulviceps"
Equisetopsida,Fabales,Fabaceae,"Senna pendula var. tenuifolia"
