Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Motacillidae,Anthus correndera,FALSE,FALSE
Mammalia,Carnivora,Canidae,Lycalopex (Pseudalopex) culpaeus,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Plantago tubulosa,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus jacobitus,FALSE,TRUE
Equisetopsida,Lamiales,Plantaginaceae,Plantago rigida,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Aciachne pulvinata,FALSE,FALSE
Aves,Strigiformes,Strigidae,Athene cunicularia,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa spicigera,FALSE,FALSE
Aves,Falconiformes,Falconidae,Phalcoboenus megalopterus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Oxyura jamaicensis,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Acaulimalva engleriana,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Geranium sessiliflorum,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Plegadis ridgwayi,FALSE,FALSE
Reptilia,Sauria,Liolaemidae,Liolaemus alticolor,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis montanus,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Gentianella carneorubra,TRUE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea alba,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis uropygialis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa aequigluma,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Cuatrecasasiella isernii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Myrosmodes paludosa,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Senecio breviscapus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula puna,FALSE,FALSE
Aves,Gruiformes,Rallidae,Gallinula galeata,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Aves,Anseriformes,Anatidae,Lophonetta specularioides,FALSE,FALSE
