Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia karineae"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia vargasiana"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia tincta"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia inflata"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia austromontana"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia weberbaueriana"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia marizae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia veitchiana"
Equisetopsida,Asterales,Asteraceae,"Fleischmannia vargasii"
Equisetopsida,Asterales,Asteraceae,"Fleischmannia rhodotephra"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia welischii"
Equisetopsida,Poales,Poaceae,"Festuca rigidifolia"
Equisetopsida,Fabales,Polygalaceae,"Monnina pachycoma"
Equisetopsida,Asparagales,Orchidaceae,"Ida maxibractea"
Equisetopsida,Asparagales,Amaryllidaceae,"Eustephia darwinii"
Equisetopsida,Asterales,Asteraceae,"Pentacalia nunezii"
Equisetopsida,Asterales,Asteraceae,"Pentacalia urubambensis"
Equisetopsida,Piperales,Piperaceae,"Peperomia giliberti"
Equisetopsida,Piperales,Piperaceae,"Peperomia herrerae"
Equisetopsida,Piperales,Piperaceae,"Peperomia maransara"
Equisetopsida,Piperales,Piperaceae,"Peperomia ollantaitambona"
Equisetopsida,Piperales,Piperaceae,"Peperomia peruviana"
Equisetopsida,Solanales,Solanaceae,"Solanum buesii"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria denticulata"
Equisetopsida,Polypodiales,Pteridaceae,"Eriosorus accrescens"
Equisetopsida,Solanales,Solanaceae,"Solanum coelestispetalum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum urubambae"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum subliberum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum scutella"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum rondosianum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum quispei"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum physopus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum philippii"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum pachacutequianum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum ochoae"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum mormontoyi"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum monzonense"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum modestum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum incahuamanii"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum inamoenum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum haenkeanum"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum fruticulum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum exaltatum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum clavadista"
Aves,Passeriformes,Troglodytidae,"Pheugopedius eisenmanni"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum bambusiforme"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum astetei"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum ardens"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum ampliracemum"
Equisetopsida,Malvales,Malvaceae,"Andeimalva machupicchensis"
Equisetopsida,Solanales,Solanaceae,"Nicotiana raimondii"
Aves,Apodiformes,Trochilidae,"Elliotomyia viridicauda"
Equisetopsida,Asterales,Asteraceae,"Ellenbergia glandulata"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum paultonii"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum nastukiae"
Equisetopsida,Solanales,Solanaceae,"Solanum incasicum"
Equisetopsida,Asparagales,Orchidaceae,"Ixyophora aurantiaca"
Reptilia,Sauria,Gymnophthalmidae,"Pholidobolus anomalus"
Equisetopsida,Asparagales,Orchidaceae,"Anathallis lagarophyta"
Equisetopsida,Solanales,Solanaceae,"Solanum laxissimum"
Equisetopsida,Asparagales,Orchidaceae,"Anathallis carnosifolia"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis cuzcoensis"
Mammalia,Chiroptera,Molossidae,"Mormopterus phrudus"
Equisetopsida,Solanales,Solanaceae,"Solanum lignicaule"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria brachypetala"
Equisetopsida,Asterales,Asteraceae,"Jungia amplistipula"
Equisetopsida,Asparagales,Orchidaceae,"Stanhopea haseloviana"
Equisetopsida,Asparagales,Orchidaceae,"Stanhopea marizaiana"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea incayensis"
Equisetopsida,Lamiales,Acanthaceae,"Justicia alpina"
Equisetopsida,Ericales,Ericaceae,"Diogenesia vargasiana"
Equisetopsida,Asparagales,Orchidaceae,"Kefersteinia koechlinorum"
Equisetopsida,Lamiales,Acanthaceae,"Dicliptera rauhii"
Aves,Passeriformes,Thraupidae,"Kleinothraupis parodii"
Equisetopsida,Piperales,Piperaceae,"Piper elongatum"
Equisetopsida,Laurales,Lauraceae,"Nectandra utilis"
Equisetopsida,Asparagales,Orchidaceae,"Kreodanthus simplex"
Equisetopsida,Piperales,Piperaceae,"Piper machupicchuense"
Equisetopsida,Piperales,Piperaceae,"Piper ollantaitambanum"
Equisetopsida,Piperales,Piperaceae,"Piper santaritanum"
Equisetopsida,Piperales,Piperaceae,"Piper sinuclausum"
Equisetopsida,Solanales,Solanaceae,"Solanum raphanifolium"
Equisetopsida,Piperales,Piperaceae,"Piper sumpi"
Equisetopsida,Piperales,Piperaceae,"Piper urubambanum"
Equisetopsida,Asterales,Asteraceae,"Dendrophorbium argutidentatum"
Equisetopsida,Solanales,Solanaceae,"Solanum santolallae"
Aves,Passeriformes,Cotingidae,"Pipreola pulchra"
Equisetopsida,Ericales,Ericaceae,"Demosthenesia weberbaueri"
Equisetopsida,Laurales,Lauraceae,"Nectandra herrerae"
Equisetopsida,Laurales,Lauraceae,"Nectandra furcata"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta kalinowskii"
Equisetopsida,Poales,Bromeliaceae,"Pitcairnia ellenbergi"
Equisetopsida,Malpighiales,Salicaceae,"Abatia spicata"
Equisetopsida,Solanales,Solanaceae,"Solanum sumacaspi"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum volubile"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum pusillum"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum minax"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum ligulatum"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum gracile"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea ruiziana"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis hjertingii"
Mammalia,Rodentia,Abrocomidae,"Cuscomys oblativus"
Equisetopsida,Solanales,Solanaceae,"Solanum urubambae"
Equisetopsida,Poales,Poaceae,"Poa rauhii"
