Clase,Orden,Familia,Especie
Equisetopsida,Asterales,Asteraceae,"Gamochaeta americana"
Equisetopsida,Asterales,Asteraceae,"Hypochaeris andina"
Equisetopsida,Asterales,Asteraceae,"Paranephelius ovatus"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Aves,Charadriiformes,Scolopacidae,"Gallinago jamesoni"
Aves,Charadriiformes,Scolopacidae,"Gallinago imperialis"
Aves,Charadriiformes,Scolopacidae,"Gallinago andina"
Equisetopsida,Asterales,Asteraceae,"Hypochaeris glabrata"
Equisetopsida,Gentianales,Rubiaceae,"Galium hypocarpium"
Equisetopsida,Gentianales,Rubiaceae,"Galium canescens"
Aves,Gruiformes,Rallidae,"Pardirallus sanguinolentus"
Equisetopsida,Asterales,Asteraceae,"Galinsoga quadriradiata"
Equisetopsida,Asterales,Asteraceae,"Galinsoga mandonii"
Equisetopsida,Gentianales,Rubiaceae,"Galianthe peruviana"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Equisetopsida,Proteales,Sabiaceae,"Meliosma caldasii"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia dichotoma"
Aves,Passeriformes,Tyrannidae,"Ochthoeca oenanthoides"
Equisetopsida,Santalales,Loranthaceae,"Gaiadendron punctatum"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia karineae"
Equisetopsida,Asparagales,Asparagaceae,"Furcraea andina"
Equisetopsida,Funariales,Funariaceae,"Funaria hygrometrica"
Equisetopsida,Funariales,Funariaceae,"Funaria calvescens"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia scopulorum"
Aves,Gruiformes,Rallidae,"Fulica ardesiaca"
Equisetopsida,Malvales,Malvaceae,"Fuertesimalva peruviana"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia vargasiana"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia tincta"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia sanctae-rosae"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia inflata"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia denticulata"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia boliviana"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia austromontana"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia apetala"
Equisetopsida,Porellales,Frullaniaceae,"Frullania laxiflora"
Equisetopsida,Asparagales,Orchidaceae,"Frondaria caulescens"
