Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Asterales,Asteraceae,Gamochaeta americana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Hypochaeris andina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Paranephelius ovatus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Gallinula galeata,FALSE,FALSE
Aves,Apodiformes,Apodidae,Aeronautes andecolus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Gallinago jamesoni,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Gallinago imperialis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Gallinago andina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Hypochaeris glabrata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Galium hypocarpium,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Galium canescens,FALSE,FALSE
Aves,Gruiformes,Rallidae,Pardirallus sanguinolentus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Galinsoga quadriradiata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Galinsoga mandonii,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Galianthe peruviana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila luctuosa,FALSE,FALSE
Equisetopsida,Proteales,Sabiaceae,Meliosma caldasii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Sobralia dichotoma,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca oenanthoides,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Gaiadendron punctatum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Masdevallia karineae,TRUE,TRUE
Equisetopsida,Asparagales,Asparagaceae,Furcraea andina,FALSE,FALSE
Equisetopsida,Funariales,Funariaceae,Funaria hygrometrica,FALSE,FALSE
Equisetopsida,Funariales,Funariaceae,Funaria calvescens,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca leucophrys,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Sobralia scopulorum,FALSE,FALSE
Aves,Gruiformes,Rallidae,Fulica ardesiaca,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Fuertesimalva peruviana,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia vargasiana,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia tincta,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia sanctae-rosae,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia inflata,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia denticulata,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia boliviana,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia austromontana,TRUE,FALSE
Equisetopsida,Myrtales,Onagraceae,Fuchsia apetala,FALSE,FALSE
Equisetopsida,Porellales,Frullaniaceae,Frullania laxiflora,FALSE,FALSE
