Clase,Orden,Familia,Especie
Aves,Passeriformes,Thraupidae,"Thlypopsis ruficeps"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Reptilia,Serpentes,Dipsadidae,"Tachymenis peruviana"
Mammalia,Chiroptera,Molossidae,"Tadarida brasiliensis"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Rosales,Urticaceae,"Urtica leptophylla"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Equisetopsida,Asterales,Asteraceae,"Taraxacum officinale"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Equisetopsida,Asterales,Asteraceae,"Jungia rugosa"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Aves,Apodiformes,Trochilidae,"Lesbia victoriae"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Equisetopsida,Fabales,Fabaceae,"Lupinus ballianus"
Aves,Passeriformes,Thraupidae,"Phrygilus punensis"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Aves,Passeriformes,Furnariidae,"Asthenes humilis"
Equisetopsida,Polypodiales,Dryopteridaceae,"Polystichum nudicaule"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum aureum"
Aves,Passeriformes,Furnariidae,"Asthenes modesta"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Passeriformes,Thraupidae,"Idiopsar speculiger"
Equisetopsida,Asterales,Asteraceae,"Ageratina glechonophylla"
Equisetopsida,Asterales,Asteraceae,"Bidens pilosa"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Equisetopsida,Asterales,Asteraceae,"Baccharis venosa"
Equisetopsida,Fabales,Fabaceae,"Senna multiglandulosa"
Aves,Apodiformes,Trochilidae,"Heliangelus amethysticollis"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Equisetopsida,Malpighiales,Euphorbiaceae,"Euphorbia huanchahana"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Passeriformes,Thraupidae,"Diglossa brunneiventris"
Aves,Passeriformes,Cotingidae,"Ampelion rubrocristatus"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea formosissima"
Equisetopsida,Ericales,Ericaceae,"Gaultheria myrsinoides"
Equisetopsida,Asterales,Asteraceae,"Achyrocline alata"
Equisetopsida,Asterales,Asteraceae,"Baccharis alpina"
Aves,Anseriformes,Anatidae,"Oxyura jamaicensis"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis pernigra"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Equisetopsida,Ericales,Ericaceae,"Gaultheria glomerata"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Equisetopsida,Ericales,Primulaceae,"Myrsine dependens"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum naudinii"
Equisetopsida,Solanales,Solanaceae,"Solanum cochabambense"
Equisetopsida,Poales,Poaceae,"Muhlenbergia rigida"
Equisetopsida,Bruniales,Columelliaceae,"Columellia obovata"
Equisetopsida,Asterales,Asteraceae,"Hypochaeris sessiliflora"
Equisetopsida,Asterales,Asteraceae,"Senecio rudbeckiifolius"
Equisetopsida,Asterales,Asteraceae,"Aetheolaena campanulata"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Aves,Passeriformes,Furnariidae,"Cinclodes albidiventris"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium brevicalyx"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Aves,Passeriformes,Tyrannidae,"Ochthoeca rufipectoralis"
Equisetopsida,Asterales,Asteraceae,"Mutisia mathewsii"
Equisetopsida,Asterales,Asteraceae,"Gynoxys nitida"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Equisetopsida,Piperales,Piperaceae,"Peperomia galioides"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Passeriformes,Tyrannidae,"Ochthoeca oenanthoides"
Equisetopsida,Cornales,Loasaceae,"Caiophora cirsiifolia"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Aves,Passeriformes,Cardinalidae,"Pheucticus aureoventris"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus orbygnesius"
Aves,Passeriformes,Hirundinidae,"Progne subis"
Mammalia,Chiroptera,Phyllostomidae,"Desmodus rotundus"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria linearis"
Reptilia,Sauria,Liolaemidae,"Liolaemus wari"
Equisetopsida,Solanales,Solanaceae,"Saracha punctata"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Aves,Passeriformes,Tyrannidae,"Cnemarchus rufipennis"
Aves,Passeriformes,Furnariidae,"Cinclodes albiventris"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja coriacea"
Aves,Passeriformes,Thraupidae,"Rhipospina fruticeti"
Mammalia,Rodentia,Cricetidae,"Calomys lepidus"
Equisetopsida,Rosales,Rosaceae,"Hesperomeles ferruginea"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia resinosa"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Equisetopsida,Caryophyllales,Phytolaccaceae,"Phytolacca bogotensis"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Equisetopsida,Caryophyllales,Polygonaceae,"Muehlenbeckia volcanica"
Aves,Apodiformes,Trochilidae,"Oreotrochilus melanogaster"
Equisetopsida,Lamiales,Verbenaceae,"Citharexylum dentatum"
Aves,Apodiformes,Trochilidae,"Metallura tyrianthina"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Equisetopsida,Asterales,Asteraceae,"Aristeguietia discolor"
Mammalia,Chiroptera,Phyllostomidae,"Anoura geoffroyi"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes oreophila"
Aves,Passeriformes,Furnariidae,"Leptasthenura striata"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago australis"
Aves,Passeriformes,Icteridae,"Dives warczewiczi"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus praemorsus"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Equisetopsida,Celastrales,Celastraceae,"Maytenus apurimacensis"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Aves,Passeriformes,Cinclidae,"Cinclus leucocephalus"
Equisetopsida,Fabales,Fabaceae,"Otholobium pubescens"
Equisetopsida,Lamiales,Lamiaceae,"Salvia rhodostephana"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola albifrons"
Aves,Passeriformes,Tyrannidae,"Myiotheretes striaticollis"
Equisetopsida,Asterales,Asteraceae,"Ageratina sternbergiana"
Equisetopsida,Asterales,Asteraceae,"Baccharis buxifolia"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Aves,Tinamiformes,Tinamidae,"Nothoprocta ornata"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Equisetopsida,Piperales,Piperaceae,"Peperomia hartwegiana"
Aves,Passeriformes,Grallariidae,"Grallaria andicolus"
Mammalia,Chiroptera,Vespertilionidae,"Myotis oxyotus"
