Clase,Orden,Familia,Especie
Amphibia,Anura,Craugastoridae,"Pristimantis incomptus"
Amphibia,Anura,Hylidae,"Osteocephalus festae"
Amphibia,Anura,Craugastoridae,"Pristimantis rhodostichus"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Equisetopsida,Asterales,Asteraceae,"Gynoxys colanensis"
Amphibia,Anura,Centrolenidae,"Espadarana audax"
Amphibia,Anura,Craugastoridae,"Pristimantis schultei"
Amphibia,Anura,Craugastoridae,"Pristimantis serendipitus"
Amphibia,Anura,Craugastoridae,"Pristimantis rhodoplichus"
Aves,Passeriformes,Thraupidae,"Poospiza rufosuperciliaris"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Amphibia,Anura,Hylidae,"Hyloscirtus phyllognathus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria lepidota"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Aves,Passeriformes,Thraupidae,"Wetmorethraupis sterrhopteron"
Mammalia,Rodentia,Cricetidae,"Thomasomys ischyrus"
,,,
