Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria arbuscula"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus krabbei"
Aves,Passeriformes,Grallariidae,"Grallaria carrikeri"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella chlorantha"
Equisetopsida,Magnoliales,Annonaceae,"Cremastosperma oblongum"
Equisetopsida,Piperales,Piperaceae,"Peperomia boekei"
Amphibia,Anura,Craugastoridae,"Oreobates colanensis"
Amphibia,Anura,Craugastoridae,"Pristimantis cuneirostris"
Equisetopsida,Ericales,Myrsinaceae,"Cybianthus incognitus"
Reptilia,Sauria,Sphaerodactylidae,"Pseudogonatodes peruvianus"
Equisetopsida,Asterales,Asteraceae,"Pentacalia cutervonis"
Equisetopsida,Proteales,Sabiaceae,"Meliosma pumila"
Equisetopsida,Malvales,Malvaceae,"Ayenia peregrina"
Amphibia,Anura,Bufonidae,"Rhinella arborescandens"
Amphibia,Anura,Craugastoridae,"Pristimantis atrabracus"
Aves,Apodiformes,Trochilidae,"Metallura theresiae"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus janaleeae"
Equisetopsida,Alismatales,Araceae,"Anthurium barbourii"
Equisetopsida,Ericales,Primulaceae,"Myrsine dilloniana"
Amphibia,Anura,Centrolenidae,"Centrolene lemniscatum"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum pachyrrhizum"
Amphibia,Anura,Craugastoridae,"Pristimantis corrugatus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton adipatus"
Equisetopsida,Asterales,Asteraceae,"Gynoxys colanensis"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia llewelynii"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis tomentosa"
Equisetopsida,Solanales,Solanaceae,"Solanum hutchisonii"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Amphibia,Anura,Centrolenidae,"Espadarana audax"
Equisetopsida,Asterales,Asteraceae,"Diplostephium sagasteguii"
Amphibia,Anura,Craugastoridae,"Lynchius waynehollomonae"
Amphibia,Anura,Hemiphractidae,"Gastrotheca abdita"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona krauseana"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Amphibia,Anura,Craugastoridae,"Pristimantis avicuporum"
Amphibia,Anura,Hemiphractidae,"Gastrotheca gemma"
Amphibia,Anura,Centrolenidae,"Nymphargus mixomaculatus"
Equisetopsida,Asterales,Asteraceae,"Pentacalia miniaurita"
Amphibia,Anura,Craugastoridae,"Pristimantis rufioculis"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis wurdackii"
Equisetopsida,Cornales,Loasaceae,"Nasa colanii"
Equisetopsida,Solanales,Solanaceae,"Deprea lutea"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus hirsutis"
Equisetopsida,Asparagales,Orchidaceae,"Brachionidium furfuraceum"
Equisetopsida,Gentianales,Gentianaceae,"Halenia longicaulis"
Aves,Passeriformes,Thraupidae,"Poospiza rufosuperciliaris"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Huperzia colanensis"
Equisetopsida,Alismatales,Araceae,"Anthurium oneillii"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Amphibia,Anura,Bufonidae,"Rhinella moralesi"
Aves,Passeriformes,Grallariidae,"Grallaria przewalskii"
Aves,Passeriformes,Grallariidae,"Grallaria blakei"
Equisetopsida,Gentianales,Gentianaceae,"Halenia mathewsii"
Equisetopsida,Malpighiales,Violaceae,"Pombalia calceolaria"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Equisetopsida,Asterales,Asteraceae,"Monticalia barbourii"
Amphibia,Anura,Craugastoridae,"Pristimantis paulpittmani"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria deuteropastensis"
Equisetopsida,Asterales,Asteraceae,"Paranephelius wurdackii"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Equisetopsida,Alismatales,Araceae,"Anthurium grahamii"
Amphibia,Anura,Craugastoridae,"Pristimantis percnopterus"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Equisetopsida,Asterales,Asteraceae,"Munnozia olearioides"
Amphibia,Anura,Craugastoridae,"Noblella lynchi"
Amphibia,Anura,Dendrobatidae,"Colostethus poecilonotus"
Equisetopsida,Poales,Bromeliaceae,"Pitcairnia peruana"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum bicolor"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana ledoides"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Amphibia,Anura,Telmatobiidae,"Telmatobius colanensis"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Mammalia,Rodentia,Cricetidae,"Thomasomys ischyrus"
,,,
