Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria arbuscula,TRUE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis katoptroides,FALSE,FALSE
Aves,Passeriformes,Rhinocryptidae,Scytalopus krabbei,TRUE,FALSE
Aves,Passeriformes,Tyrannidae,Euscarthmus fulviceps,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Rubus glabratus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Megarynchus pitangua,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Chlorophonia cyanocephala,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Chlorophonia cyanea,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria carrikeri,TRUE,FALSE
Equisetopsida,Santalales,Loranthaceae,Oryctanthus alveolatus,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates affinis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea hospitalis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum recurvitepalostachyum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila simplex,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum rigidum,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga sulcirostris,FALSE,FALSE
Mammalia,Carnivora,Felidae,Panthera onca,FALSE,FALSE
Equisetopsida,Lamiales,Lentibulariaceae,Pinguicula involuta,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Piaya cayana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sphenopsis frontalis,FALSE,FALSE
Reptilia,Sauria,Dactyloidae,Anolis soinii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Gomphichis valida,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum laevigatum,FALSE,FALSE
Equisetopsida,Santalales,Santalaceae,Dendrophthora lindeniana,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cranioleuca curtata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Camptostoma obsoletum,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rubiginosus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Coereba flaveola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Anisognathus somptuosus,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Gentianella chlorantha,TRUE,FALSE
Equisetopsida,Boraginales,Boraginaceae,Moritzia lindenii,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis lotoides,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Fernandezia crystallina,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Gualtheria myrsinoides,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis incomptus,FALSE,TRUE
Aves,Passeriformes,Tyrannidae,Phaeomyias murina,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus sordidus,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Cremastosperma oblongum,TRUE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia boekei,TRUE,FALSE
Aves,Trogoniformes,Trogonidae,Pharomachrus auriceps,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Oreobates colanensis,TRUE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus turdinus,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Pilea hydrocotyliflora,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium dillonii,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Chlorospingus flavopectus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Coccyzus melacoryphus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius angustifrons,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mionectes striaticollis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Phacellodomus rufifrons,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Dipsas catesbyi,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus marginatus,FALSE,FALSE
Reptilia,Serpentes,Boidae,Epicrates cenchria,FALSE,FALSE
Aves,Passeriformes,Rhinocryptidae,Scytalopus parvirostris,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea endotrachys,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga ani,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Anisognathus igniventris,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus oryzivorus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes similis,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis cuneirostris,TRUE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas subvinacea,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Huperzia brevifolia,FALSE,FALSE
Equisetopsida,Ericales,Myrsinaceae,Cybianthus incognitus,TRUE,FALSE
Aves,Steatornithiformes,Steatornithidae,Steatornis caripensis,FALSE,FALSE
Equisetopsida,Asterales,Campanulaceae,Siphocampylus jelskii,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea straminea,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodiella alopecuroides,FALSE,FALSE
Reptilia,Sauria,Sphaerodactylidae,Pseudogonatodes peruvianus,TRUE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum tegularis,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria rufula,FALSE,FALSE
Aves,Coraciiformes,Momotidae,Momotus aequatorialis,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus psaltria,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria jamesonii,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Premnornis guttuliger,FALSE,FALSE
Aves,Passeriformes,Parulidae,Basileuterus tristriatus,FALSE,FALSE
Amphibia,Anura,Hylidae,Osteocephalus festae,FALSE,TRUE
Equisetopsida,Lamiales,Cordiaceae,Cordia saccellia,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea multiflora,FALSE,FALSE
Equisetopsida,Alismatales,Tofieldiaceae,Harperocallis falcata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Pentacalia cutervonis,TRUE,FALSE
Equisetopsida,Poales,Bromeliaceae,Puya cajasensis,FALSE,FALSE
Equisetopsida,Proteales,Sabiaceae,Meliosma pumila,TRUE,FALSE
Equisetopsida,Malvales,Malvaceae,Ayenia peregrina,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila telasco,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus granadensis,FALSE,FALSE
Equisetopsida,Ericales,Clethraceae,Clethra ovalifolia,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia connixa,FALSE,FALSE
Amphibia,Anura,Hylidae,Hypsiboas fasciatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phylloscartes ophthalmicus,FALSE,FALSE
Aves,Passeriformes,Corvidae,Cyanolyca viridicyanus,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea setacea,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Gaultheria reticulata,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia neriifolia,FALSE,FALSE
Amphibia,Anura,Bufonidae,Rhinella arborescandens,TRUE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis atrabracus,TRUE,FALSE
Equisetopsida,Poales,Bromeliaceae,Deuterocohnia longipetala,FALSE,FALSE
Equisetopsida,Asterales,Campanulaceae,Lysipomia gracilis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chalcothraupis ruficervix,FALSE,FALSE
