Clase,Orden,Familia,Especie
Equisetopsida,Gentianales,Rubiaceae,"Exostema corymbosum"
Amphibia,Anura,Bufonidae,"Atelopus erythropus"
Amphibia,Anura,Craugastoridae,"Pristimantis mendax"
Aves,Passeriformes,Thamnophilidae,"Herpsilochmus motacilloides"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum minax"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Amphibia,Anura,Craugastoridae,"Psychrophrynella bagrecito"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum ardens"
Aves,Passeriformes,Cotingidae,"Pipreola pulchra"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea farfanii"
Aves,Apodiformes,Trochilidae,"Phlogophilus harterti"
Aves,Passeriformes,Grallariidae,"Grallaria erythroleuca"
Mammalia,Rodentia,Cricetidae,"Akodon torques"
Mammalia,Rodentia,Cricetidae,"Akodon surdus"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea normae"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria cuzcoensis"
Amphibia,Anura,Centrolenidae,"Rulyrana spiculata"
Amphibia,Anura,Craugastoridae,"Pristimantis salaputium"
Aves,Passeriformes,Icteridae,"Cacicus koepckeae"
,,,
