Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Phyllostomidae,"Sturnira tildae"
Equisetopsida,Alismatales,Araceae,"Xanthosoma pubescens"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Malvales,Malvaceae,"Wissadula excelsior"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Equisetopsida,Commelinales,Commelinaceae,"Tradescantia zanonia"
Equisetopsida,Arecales,Arecaceae,"Wettinia maynensis"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria plantaginea"
Equisetopsida,Lamiales,Bignoniaceae,"Tanaecium pyramidatum"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris americana"
Equisetopsida,Malvales,Malvaceae,"Wercklea ferox"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris poeppigiana"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira oporaphilum"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia polystachia"
Equisetopsida,Asterales,Asteraceae,"Tilesia baccata"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Equisetopsida,Commelinales,Haemodoraceae,"Xiphidium caeruleum"
Aves,Passeriformes,Thraupidae,"Stilpnia viridicollis"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Myrtales,Melastomataceae,"Tibouchina longifolia"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Rosales,Cannabaceae,"Trema micrantha"
Actinopterygii,Siluriformes,Trichomycteridae,"Trichomycterus megantoni"
Equisetopsida,Myrtales,Combretaceae,"Terminalia oblonga"
Aves,Passeriformes,Furnariidae,"Synallaxis cabanisi"
Aves,Passeriformes,Furnariidae,"Synallaxis gujanensis"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira obtusa"
Equisetopsida,Gentianales,Gentianaceae,"Symbolanthus calygonus"
Mammalia,Chiroptera,Thyropteridae,"Thyroptera tricolor"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia megalantha"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Aves,Apodiformes,Trochilidae,"Taphrospilus hypostictus"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia biloba"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Aves,Passeriformes,Tyrannidae,"Tolmomyias flaviventris"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Aves,Passeriformes,Furnariidae,"Syndactyla rufosuperciliata"
Equisetopsida,Asparagales,Orchidaceae,"Trichoceros antennifer"
Equisetopsida,Gentianales,Gentianaceae,"Tapeinostemon zamoranum"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Aves,Passeriformes,Furnariidae,"Syndactyla ucayalae"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Aves,Passeriformes,Troglodytidae,"Troglodytes solstitialis"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Aves,Tinamiformes,Tinamidae,"Tinamus osgoodi"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus ocellatus"
Aves,Passeriformes,Thraupidae,"Tangara xanthocephala"
Equisetopsida,Sapindales,Burseraceae,"Tetragastris panamensis"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Aves,Passeriformes,Tyrannidae,"Syrtidicola fluviatilis"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Equisetopsida,Magnoliales,Myristicaceae,"Virola sebifera"
Aves,Passeriformes,Thraupidae,"Tangara vassorii"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea"
Aves,Passeriformes,Furnariidae,"Thripadectes melanorhynchus"
Aves,Podicipediformes,Podicipedidae,"Tachybaptus dominicus"
Aves,Passeriformes,Tyrannidae,"Tolmomyias assimilis"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Aves,Passeriformes,Furnariidae,"Thripadectes holostictus"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Equisetopsida,Malpighiales,Salicaceae,"Tetrathylacium macrophyllum"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Tetrorchidium macrophyllum"
Aves,Trogoniformes,Trogonidae,"Trogon melanurus"
Aves,Trogoniformes,Trogonidae,"Trogon personatus"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Thraupidae,"Tangara parzudakii"
Amphibia,Anura,Hylidae,"Trachycephalus typhonius"
Equisetopsida,Sapindales,Meliaceae,"Trichilia elegans"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sananho"
Aves,Passeriformes,Thraupidae,"Tangara nigroviridis"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Aves,Passeriformes,Vireonidae,"Vireo leucophrys"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Aves,Passeriformes,Thraupidae,"Tangara mexicana"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Insecta,Coleoptera,Scarabaeidae,"Sylvicanthon bridarolli"
Aves,Passeriformes,Thamnophilidae,"Thamnistes rufescens"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum cuspidatum"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Equisetopsida,Rosales,Moraceae,"Trophis caucana"
Equisetopsida,Brassicales,Tovariaceae,"Tovaria pendula"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Equisetopsida,Fabales,Fabaceae,"Vigna caracalla"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Vireonidae,"Tunchiornis ochraceiceps"
Aves,Passeriformes,Tyrannidae,"Zimmerius bolivianus"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes schistogynus"
Aves,Passeriformes,Turdidae,"Turdus albicollis"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura patens"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria tomentosa"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia calophylla"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus caerulescens"
Equisetopsida,Rosales,Urticaceae,"Urera baccifera"
Equisetopsida,Rosales,Urticaceae,"Urera caracasana"
Mammalia,Rodentia,Cricetidae,"Thomasomys aureus"
Aves,Passeriformes,Thraupidae,"Thlypopsis sordida"
Equisetopsida,Rosales,Urticaceae,"Urera laciniata"
Equisetopsida,Rosales,Urticaceae,"Urera simplex"
Aves,Charadriiformes,Charadriidae,"Vanellus cayanus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus palliatus"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma bilobatum"
Mammalia,Chiroptera,Phyllostomidae,"Vampyrum spectrum"
Equisetopsida,Fabales,Fabaceae,"Tachigali vasquezii"
Mammalia,Chiroptera,Phyllostomidae,"Trachops cirrhosus"
Aves,Passeriformes,Turdidae,"Turdus nigriceps"
Aves,Passeriformes,Tyrannidae,"Zimmerius gracilipes"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma magnirostrum"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus schistaceus"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Aves,Columbiformes,Columbidae,"Zentrygon frenata"
Aves,Passeriformes,Turdidae,"Turdus serranus"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Equisetopsida,Lamiales,Bignoniaceae,"Tynanthus polyanthus"
Equisetopsida,Alismatales,Araceae,"Xanthosoma viviparum"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia ionochroma"
Equisetopsida,Lamiales,Bignoniaceae,"Fridericia oligantha"
Mammalia,Chiroptera,Phyllostomidae,"Anoura cultrata"
Equisetopsida,Lamiales,Bignoniaceae,"Fridericia patellifera"
Aves,Passeriformes,Icteridae,"Amblycercus holosericeus"
Equisetopsida,Gentianales,Rubiaceae,"Sabicea villosa"
Actinopterygii,Characiformes,Erythrinidae,"Hoplias malabaricus"
Amphibia,Anura,Craugastoridae,"Oreobates quixensis"
Aves,Tinamiformes,Tinamidae,"Crypturellus cinereus"
