Clase,Orden,Familia,Especie,endemica,amenazada
Mammalia,Chiroptera,Phyllostomidae,Sturnira tildae,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Xanthosoma pubescens,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Symphonia globulifera,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Wissadula excelsior,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia maynensis,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria incisa,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria plantaginea,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tanaecium pyramidatum,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris americana,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Wercklea ferox,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris poeppigiana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira oporaphilum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Taraba major,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia polystachia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tilesia baccata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Equisetopsida,Commelinales,Haemodoraceae,Xiphidium caeruleum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia viridicollis,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Tibouchina longifolia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micrantha,FALSE,FALSE
Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus megantoni,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia oblonga,FALSE,FALSE
