Clase,Orden,Familia,Especie
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Chiroptera,Phyllostomidae,"Gardnerycteris koepckeae"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
,,,
