Clase,Orden,Familia,Especie
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta kalinowskii"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea cornigera"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora weigendii"
Mammalia,Chiroptera,Phyllostomidae,"Gardnerycteris koepckeae"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Aves,Passeriformes,Thamnophilidae,"Herpsilochmus motacilloides"
Mammalia,Primates,Cebidae,"Aotus miconax"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
,,,
